Category,States/ UTs,Total No. of Persons under trial including those from previous year,Total No. of Persons whose cases Compounded or Withdrawn,Total No. of Persons whose Trial Completed,Total No. of Persons whose Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,10186,138,3822,6226,554,61.1,3.2
State,Arunachal Pradesh,1,0,0,1,0,100,0
State,Assam,161,9,79,73,23,45.3,0
State,Bihar,10684,12,1034,9638,225,90.2,5
State,Chhattisgarh,3100,233,777,2090,276,67.4,1.1
State,Goa,2,0,0,2,0,100,0
State,Gujarat,19604,30,2302,17272,90,88.1,9
State,Haryana,1486,0,231,1255,16,84.5,0.7
State,Himachal Pradesh,798,14,177,607,5,76.1,0.3
State,Jammu & Kashmir,35,0,8,27,0,77.1,0
State,Jharkhand,505,15,145,345,30,68.3,0.2
State,Karnataka,18792,49,4625,14118,91,75.1,7.3
State,Kerala,4000,8,880,3112,34,77.8,1.6
State,Madhya Pradesh,37625,563,7524,29538,2612,78.5,15.3
State,Maharashtra,19449,22,1545,17882,73,91.9,9.3
State,Manipur,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,9723,0,2007,7716,283,79.4,4
State,Punjab,658,0,90,568,9,86.3,0.3
State,Rajasthan,21265,737,4213,16315,1673,76.7,8.5
State,Sikkim,11,0,5,6,2,54.5,0
State,Tamil Nadu,8050,30,2509,5511,474,68.5,2.9
State,Tripura,34,0,0,34,0,100,0
State,Uttar Pradesh,72631,352,12733,59546,6160,82,30.9
State,Uttaranchal,837,3,89,745,53,89,0.4
State,West Bengal,20,0,3,17,2,85,0
State,Total (States),239657,2215,44798,192644,12685,80.4,99.9
Union Territory,A & N Islands,0,0,0,0,0,0,0
Union Territory,Chandigarh,3,0,0,3,0,100,0
Union Territory,D & N Haveli,2,0,0,2,0,100,0
Union Territory,Daman & Diu,1,0,0,1,0,100,0
Union Territory,Delhi,85,0,20,65,5,76.5,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,139,0,24,115,1,82.7,0.1
Union Territory,Total (UTs),230,0,44,186,6,80.9,0.1
Total (All-India),Total (All-India),239887,2215,44842,192830,12691,80.4,100
