Category,States/ UTs,2003,2004,2005,Percentage Variation in - 2004 over 2003,Percentage Variation in - 2005 over 2004
State,Andhra Pradesh,103,53,20,-48.5,-62.3
State,Arunachal Pradesh,0,0,0,NA,NA
State,Assam,11,0,5,-100,NA
State,Bihar,16,35,16,118.8,-54.3
State,Chhattisgarh,3254,2288,2,-29.7,-99.9
State,Goa,0,0,0,NA,NA
State,Gujarat,2160,3632,4,68.1,-99.9
State,Haryana,993,546,8,-45,-98.5
State,Himachal Pradesh,2,0,0,-100,NA
State,Jammu & Kashmir,0,0,0,NA,NA
State,Jharkhand,2,3,0,50,-100
State,Karnataka,19,8,7,-57.9,-12.5
State,Kerala,20,9,6,-55,-33.3
State,Madhya Pradesh,15084,5692,8,-62.3,-99.9
State,Maharashtra,2371,681,23,-71.3,-96.6
State,Manipur,0,0,0,NA,NA
State,Meghalaya,0,0,0,NA,NA
State,Mizoram,0,0,0,NA,NA
State,Nagaland,12,0,0,-100,NA
State,Orissa,1,0,1,-100,NA
State,Punjab,184,87,15,-52.7,-82.8
State,Rajasthan,1837,1031,5,-43.9,-99.5
State,Sikkim,0,0,0,NA,NA
State,Tamil Nadu,60,40,26,-33.3,-35
State,Tripura,0,0,0,NA,NA
State,Uttar Pradesh,13143,7292,42,-44.5,-99.4
State,Uttaranchal,47,37,30,-21.3,-18.9
State,West Bengal,1538,5,5,-99.7,0
State,Total (States),40857,21439,223,-47.5,-99
Union Territory,A & N Islands,0,0,0,NA,NA
Union Territory,Chandigarh,0,0,0,NA,NA
Union Territory,D & N Haveli,1,0,0,-100,NA
Union Territory,Daman & Diu,1,0,0,-100,NA
Union Territory,Delhi,2,5,1,150,-80
Union Territory,Lakshadweep,0,0,0,NA,NA
Union Territory,Pondicherry,0,0,0,NA,NA
Union Territory,Total (UTs),4,5,1,25,-80
Total (All-India),Total (All-India),40861,21444,224,-47.5,-99
