Category,States/UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention) Act,Railways Act,Registration of foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev of Atrocities) Act - Total,SC/ST (Prev of Atrocities) Act for SCs,SC/ST (Prev of Atrocities) Act for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
State,Andhra Pradesh,3,2,70,0,48,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,851,1006
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,15,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,3,27
State,Chhattisgarh,10,6,299,52,0,1,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,0,1049,1429
State,Goa,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
State,Gujarat,0,2,82,0,527,0,8,0,0,0,0,0,0,0,0,0,0,2,0,23,0,7,6,1,0,188,839
State,Haryana,15,18,186,155,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,16,394
State,Himachal Pradesh,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9
State,Jammu & Kashmir,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Jharkhand,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,7
State,Karnataka,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,6
State,Kerala,2,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,52,61
State,Madhya Pradesh,84,6,250,141,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,7,4,0,127,625
State,Maharashtra,11,2,128,0,205,2,3,0,0,1,1,0,7,6,0,0,0,3,0,14,0,2,2,0,0,146,530
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
State,Mizoram,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,79
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,5,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,41
