Crime Head,Incidence - 1995,Rate of Crime - 1995,Incidence - 2000,Rate of Crime - 2000,Incidence - 2001,Rate of Crime - 2001,Incidence - 2002,Rate of Crime - 2002,Incidence - 2003,Rate of Crime - 2003,Incidence - 2004,Rate of Crime - 2004,Incidence - Quinquennial Average (2000-2004) (Q.A),Rate of Crime - Quinquennial Average (2000-2004) (Q.A),Incidence - 2005,Rate of Crime - 2005,Percentage change in 2005[(+) increase/(-) decrease] over - 1995,Percentage change in 2005[(+) increase/(-) decrease] over - Q.A,Percentage change in 2005[(+) increase/(-) decrease] over - 2004@,Note of Incidence - 1995,Note of Incidence - 2000,Note of Incidence - 2002
Arms Act,64331,7,60347,6,59960,5.8,64383,6.1,72804,6.8,74482,6.9,66395,6.3,74270,6.7,15.4,11.9,-0.3,NA,NA,NA
Narcotic Drugs & Psychotropic Substances Act,20194,2.2,22739,2.3,24377,2.4,25279,2.4,27913,2.6,27608,2.5,25583,2.4,29421,2.7,45.7,15,6.6,NA,NA,NA
Gambling Act,137737,15,140959,14.1,151497,14.8,175001,16.7,175298,16.4,190682,17.6,166687,15.9,189523,17.2,37.6,13.7,-0.6,NA,NA,NA
Excise Act,114355,12.5,118811,11.9,116247,11.3,125062,11.9,137513,12.9,147854,13.6,129097,12.3,150604,13.7,31.7,16.7,1.9,NA,NA,NA
Prohibition Act,645557,70.5,537536,53.6,509077,49.6,488189,46.5,467216,43.7,378919,34.9,476187,45.7,326190,29.6,-49.5,-31.5,-13.9,NA,NA,NA
Explosive & Explosive Substances Act,5113,0.6,4759,0.5,4529,0.4,4634,0.4,3864,0.4,4248,0.4,4407,0.4,4254,0.4,-16.8,-3.5,0.1,NA,NA,NA
Immoral Traffic (P) Act,8447,0.9,9515,0.9,8796,0.9,6598,0.6,5510,0.5,5748,0.5,7233,0.7,5908,0.5,-30.1,-18.3,2.8,NA,NA,NA
Railways Act,32105,3.5,44406,4.4,64373,6.3,55697,5.3,40861,3.8,21444,2,45356,4.4,224,0,-99.3,-99.5,-99,NA,NA,NA
Registration of Foreigners Act,1611,0.2,1434,0.1,1438,0.1,1754,0.2,1315,0.1,1194,0.1,1427,0.1,1951,0.2,21.1,36.7,63.4,NA,NA,NA
Protection of Civil Rights Act - Total,3196,0.3,810,0.1,691,0.1,1065,0.1,671,0.1,375,0,722,0.1,453,0,-85.8,-37.3,20.8,NA,NA,NA
Protection of Civil Rights Act - (i) PCR Act for SCs,NA,NA,NA,NA,633,0.1,1018,0.1,634,0.1,364,0,530,0.1,291,0,NA,-45.1,-20.1,*,*,NA
Protection of Civil Rights Act - (ii) PCR Act For STs,NA,NA,NA,NA,58,0,47,0,37,0,11,0,31,0,162,0,NA,429.4,1372.7,*,*,NA
Indian Passport Act,775,0.1,309,0,390,0,693,0.1,555,0.1,807,0.1,551,0.1,1120,0.1,44.5,103.3,38.8,NA,NA,NA
Essential Commodities Act,4402,0.5,4872,0.5,4279,0.4,3593,0.3,4201,0.4,4871,0.4,4363,0.4,7216,0.7,63.9,65.4,48.1,NA,NA,NA
Terrorist & Disruptive Activities Act,1304,0.1,12,0,0,0,65,0,85,0,66,0,46,0,54,0,-95.9,18.4,-18.2,NA,NA,NA
Antiquity & Art Treasure Act,69,0,38,0,40,0,77,0,37,0,85,0,55,0,68,0,-1.4,22.7,-20,NA,NA,NA
Dowry Prohibition Act,2814,0.3,2876,0.3,3222,0.3,2816,0.3,2684,0.3,3592,0.3,3038,0.3,3204,0.3,13.9,5.5,-10.8,NA,NA,NA
Child Marriage Restraint Act,33,0,92,0,85,0,113,0,63,0,93,0,89,0,122,0,269.7,36.8,31.2,NA,NA,NA
Indecent Representation of Women (p) Act,503,0.1,662,0.1,1052,0.1,2508,0.2,1043,0.1,1378,0.1,1329,0.1,2917,0.3,479.9,119.6,111.7,NA,NA,NA
Copyrights Act,691,0.1,2364,0.2,2868,0.3,4035,0.4,5378,0.5,6290,0.6,4187,0.4,6846,0.6,890.7,63.5,8.8,NA,NA,NA
Sati Prevention Act,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,NA,NA,NA
SC/ST (Prevention of Atrocities) Act - Total,17511,1.9,15157,1.5,14780,1.4,12570,1.2,9388,0.9,10066,0.9,12392,1.2,9780,0.9,-44.1,-21.1,-2.8,NA,NA,NA
SC/ST (Prevention of Atrocities) Act - (i) Attrocities Act for SCs,NA,NA,NA,NA,13113,1.3,10770,1,8048,0.8,8891,0.8,8164,0.8,8497,0.8,NA,4.1,-4.4,*,*,NA
SC/ST (Prevention of Atrocities) Act - (ii) Attrocities Act for STs,NA,NA,NA,NA,1667,0.2,1800,0.2,1340,0.1,1175,0.1,1196,0.1,1283,0.1,NA,7.2,9.2,*,*,NA
Forest Act,4095,0.4,4916,0.5,5548,0.5,4710,0.4,3707,0.3,3818,0.4,4540,0.4,4168,0.4,1.8,-8.2,9.2,NA,NA,NA
Other SLL Crimes,3232633,352.9,2424052,241.9,2601981,253.4,2767356,263.4,2818588,263.9,3313146,305.2,2785025,265.6,2385441,216.3,-26.2,-14.3,-28,NA,NA,NA
Total Cognizable Crimes Under SLL,4297476,469.2,3396666,338.9,3575230,348.1,3746198,356.6,3778694,353.7,4196766,386.6,3738711,356.8,3203735,290.5,-25.5,-14.3,-23.7,NA,NA,#
