Category,States/UTs,7 - 12 Years (Boys),7 - 12 Years (Girls),12 - 16 Years (Boys),12 - 16 Years (Girls),16 - 18 Years (Boys),16 - 18 Years (Girls),Total for all Age Groups (Boys),Total for all Age Groups (Girls),Total - (Boys + Girls)
State,Andhra Pradesh,0,0,49,8,893,59,942,67,1009
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,3,0,24,0,27,0,27
State,Chhattisgarh,13,0,1164,30,232,12,1409,42,1451
State,Goa,3,0,0,0,0,2,3,2,5
State,Gujarat,14,10,199,45,570,82,783,137,920
State,Haryana,2,1,132,2,277,3,411,6,417
State,Himachal Pradesh,1,0,4,0,6,0,11,0,11
State,Jammu & Kashmir,0,0,1,0,0,0,1,0,1
State,Jharkhand,2,0,30,51,34,60,66,111,177
State,Karnataka,0,0,1,1,3,1,4,2,6
State,Kerala,0,0,14,0,69,1,83,1,84
State,Madhya Pradesh,15,0,176,0,508,6,699,6,705
State,Maharashtra,14,2,151,10,411,19,576,31,607
State,Manipur,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,3,0,9,0,12,0,12
State,Mizoram,0,0,0,0,62,28,62,28,90
State,Nagaland,0,0,0,0,0,0,0,0,0
State,Orissa,3,0,8,0,48,0,59,0,59
State,Punjab,1,0,8,0,14,0,23,0,23
State,Rajasthan,12,0,86,6,104,8,202,14,216
State,Sikkim,0,0,0,0,1,0,1,0,1
State,Tamil Nadu,426,19,654,9,181,1,1261,29,1290
State,Tripura,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,2,0,8,0,10,0,10
State,Uttaranchal,0,0,1,0,6,0,7,0,7
State,West Bengal,6,4,8,5,15,1,29,10,39
State,Total (States),512,36,2694,167,3475,283,6681,486,7167
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,1,0,1,0,2,0,2
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,10,3,109,9,119,12,131
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,2,0,2,0,2
Union Territory,Total (UTs),0,0,11,3,112,9,123,12,135
Total (All-India),Total (All-India),512,36,2705,170,3587,292,6804,498,7302
