Category,States/ UTs,No. of Occasions of Poilce Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
State,Andhra Pradesh,87,85,2,1,6
State,Arunachal Pradesh,4,2,3,0,16
State,Assam,17,8,3,2,5
State,Bihar,22,26,16,9,25
State,Chhattisgarh,50,4,0,1,3
State,Goa,1,0,0,0,0
State,Gujarat,19,5,9,0,14
State,Haryana,5,7,2,0,4
State,Himachal Pradesh,0,0,0,0,0
State,Jammu & Kashmir,58,50,0,0,65
State,Jharkhand,0,0,0,0,0
State,Karnataka,9,5,10,0,18
State,Kerala,2,0,15,0,13
State,Madhya Pradesh,36,26,1,1,5
State,Maharashtra,63,19,11,18,24
State,Manipur,6,3,32,0,8
State,Meghalaya,24,25,75,1,65
State,Mizoram,0,0,0,0,0
State,Nagaland,0,0,0,0,0
State,Orissa,2,1,11,0,3
State,Punjab,0,0,0,0,0
State,Rajasthan,26,8,28,0,45
State,Sikkim,0,0,0,0,0
State,Tamil Nadu,9,3,1,0,12
State,Tripura,33,18,9,5,5
State,Uttar Pradesh,251,42,122,4,18
State,Uttaranchal,6,9,2,0,1
State,West Bengal,41,8,21,3,136
State,Total (States),771,354,373,45,491
Union Territory,A & N Islands,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0
Union Territory,Delhi,5,1,0,0,0
Union Territory,Lakshadweep,0,0,0,0,0
Union Territory,Pondicherry,1,0,0,0,0
Union Territory,Total (UTs),6,1,0,0,0
Total (All-India),Total (All-India),777,355,373,45,491
