Category,States/ UTs,District / Session Judge Duration of Trial. Less Than 6 Months,District / Session Judge Duration of Trial. 6–12 Months,District / Session Judge Duration of Trial. 1–3 Years,District / Session Judge Duration of Trial. 3–5 Years,District / Session Judge Duration of Trial. 5–10 Years,District / Session Judge Duration of Trial. Over 10 Years,District / Session Judge Duration of Trial. Total (Col.3 to Col.8),Additional Session Judge Duration of Trial. Less Than 6 Months,Additional Session Judge Duration of Trial. 6–12 Months,Additional Session Judge Duration of Trial. 1–3 Years,Additional Session Judge Duration of Trial. 3–5 Years,Additional Session Judge Duration of Trial. 5–10 Years,Additional Session Judge Duration of Trial. Over 10 Years,Additional Session Judge Duration of Trial. Total (Col.10 to Col.15),Chief Judicial Magistrate Duration of Trial. Less Than 6 Months,Chief Judicial Magistrate Duration of Trial. 6–12 Months,Chief Judicial Magistrate Duration of Trial. 1–3 Years,Chief Judicial Magistrate Duration of Trial. 3–5 Years,Chief Judicial Magistrate Duration of Trial. 5–10 Years,Chief Judicial Magistrate Duration of Trial. Over 10 Years,Chief Judicial Magistrate Duration of Trial. Total (Col.17 to Col.22),Judicial Magistrate (I) Duration of Trial. Less Than 6 Months,Judicial Magistrate (I) Duration of Trial. 6–12 Months,Judicial Magistrate (I) Duration of Trial. 1–3 Years,Judicial Magistrate (I) Duration of Trial. 3–5 Years,Judicial Magistrate (I) Duration of Trial. 5–10 Years,Judicial Magistrate (I) Duration of Trial. Over 10 Years,Judicial Magistrate (I) Duration of Trial. Total (Col.24 to Col.29),Judicial Magistrate (II) Duration of Trial. Less Than 6 Months,Judicial Magistrate (II) Duration of Trial. 6–12 Months,Judicial Magistrate (II) Duration of Trial. 1–3 Years,Judicial Magistrate (II) Duration of Trial. 3–5 Years,Judicial Magistrate (II) Duration of Trial. 5–10 Years,Judicial Magistrate (II) Duration of Trial. Over 10 Years,Judicial Magistrate (II) Duration of Trial. Total (Col.31 to Col.36),Special Judicial Magistrate Duration of Trial. Less Than 6 Months,Special Judicial Magistrate Duration of Trial. 6–12 Months,Special Judicial Magistrate Duration of Trial. 1–3 Years,Special Judicial Magistrate Duration of Trial. 3–5 Years,Special Judicial Magistrate Duration of Trial. 5–10 Years,Special Judicial Magistrate Duration of Trial. Over 10 Years,Special Judicial Magistrate Duration of Trial. Total (Col.38 to Col.43),Other Type of Courts Duration of Trial. Less Than 6 Months,Other Type of Courts Duration of Trial. 6–12 Months,Other Type of Courts Duration of Trial. 1–3 Years,Other Type of Courts Duration of Trial. 3–5 Years,Other Type of Courts Duration of Trial. 5–10 Years,Other Type of Courts Duration of Trial. Over 10 Years,Other Type of Courts Duration of Trial. Total (Col.45 to Col.50),Sum of All Type of CourtsDuration of Trial. Less Than 6 Months,Sum of All Type of CourtsDuration of Trial. 6–12 Months,Sum of All Type of CourtsDuration of Trial. 1–3 Years,Sum of All Type of CourtsDuration of Trial. 3–5 Years,Sum of All Type of CourtsDuration of Trial. 5–10 Years,Sum of All Type of CourtsDuration of Trial. Over 10 Years,Sum of All Type of CourtsDuration of Trial. Total (Col.52 to Col.57)
State,ANDHRA PRADESH,81,242,1767,620,151,43,2904,100,437,2749,1189,315,69,4859,83,448,1902,578,167,25,3203,7880,8463,17387,5575,1406,91,40802,2595,4085,8646,2033,371,50,17780,2214,1460,3055,959,387,5,8080,802,1184,948,491,211,8,3644,13755,16319,36454,11445,3008,291,81272
State,ARUNACHAL PRADESH,0,0,16,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,150,45,10,0,285,0,65,211,123,3,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,377,171,13,0,706
State,ASSAM,53,171,581,519,380,319,2023,87,197,418,407,249,189,1547,445,1024,3043,1299,870,281,6962,326,832,2338,1885,1010,255,6646,7,67,230,62,19,13,398,77,178,216,247,118,106,942,252,146,443,374,218,137,1570,1247,2615,7269,4793,2864,1300,20088
State,BIHAR,0,4,188,500,607,394,1693,4,109,2299,3752,3397,1451,11012,25,86,451,661,499,192,1914,155,1072,5230,7645,4477,996,19575,0,354,1350,2338,1531,273,5846,28,26,191,239,199,20,703,0,406,1385,2425,2421,341,6978,212,2057,11094,17560,13131,3667,47721
State,CHHATTISGARH,150,177,347,446,68,28,1216,148,218,420,202,68,40,1096,1473,1875,1262,665,476,195,5946,1684,2169,1390,708,617,364,6932,482,503,965,438,318,109,2815,96,97,238,186,128,19,764,176,204,296,319,286,219,1500,4209,5243,4918,2964,1961,974,20269
State,GOA,2,7,35,19,7,0,70,0,2,19,5,1,0,27,2,7,28,24,10,1,72,76,107,290,135,54,0,662,2,14,28,36,10,0,90,0,0,0,0,0,0,0,3,2,12,11,10,0,38,85,139,412,230,92,1,959
State,GUJARAT,30,245,739,553,281,29,1877,12,298,700,583,354,32,1979,510,2423,2313,2392,1288,150,9076,1603,3149,6395,4552,2068,381,18148,245,901,1422,1402,781,77,4828,36,148,572,622,369,103,1850,4080,7760,3715,576,103,13,16247,6516,14924,15856,10680,5244,785,54005
State,HARYANA,22,79,348,156,101,3,709,139,442,1022,678,261,67,2609,394,948,2581,2542,564,92,7121,1453,1513,2461,2270,1151,208,9056,399,768,2192,1781,482,70,5692,152,391,397,224,175,36,1375,74,192,441,385,197,60,1349,2633,4333,9442,8036,2931,536,27911
State,HIMACHAL PRADESH,3,46,130,79,17,1,276,0,38,131,70,17,0,256,235,492,1044,537,139,17,2464,287,554,1299,966,410,8,3524,36,127,359,284,116,11,933,4,26,65,29,18,0,142,16,72,189,177,48,1,503,581,1355,3217,2142,765,38,8098
State,JAMMU & KASHMIR,52,93,277,264,105,91,882,32,99,285,102,64,62,644,679,407,569,297,250,54,2256,915,953,722,832,334,178,3934,86,159,203,87,83,59,677,112,59,180,64,45,0,460,92,211,275,205,26,0,809,1968,1981,2511,1851,907,444,9662
State,JHARKHAND,27,66,87,258,128,186,752,14,175,448,249,509,371,1766,39,130,328,288,199,124,1108,98,280,2130,2192,2301,2290,9291,13,244,437,414,203,276,1587,12,99,306,178,65,38,698,197,211,109,263,285,197,1262,400,1205,3845,3842,3690,3482,16464
