Category (Col.1),States/ UTs (Col.2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col.3),Cases Withdrawn by Govt. (Col.4),No. of Cases in Which Investigation was refused (Col.5),No. of Cases in Which Investigation was completed Charge Found False / Mistake of Fact or Law Etc. (Col.6),No. of Cases in Which Investigation was completed Final Report True Submitted (Col.7),No. of Cases in Which Investigation was completed Charge Sheets Were Submitted (Col.8),No. of Cases in Which Investigation was completed Investigation was completed - Total {(Col.6) + (Col.7) + (Col.8)} (Col.9),No. of Cases Pending Investigation at the end of the year (Col.10),Pendency Percentage (Col.11),Percentage of Pendency to All India Total (Col.12),Charge Sheeting Rate {(Col.8)/(Col.7 + Col.8) × 100} (Col.13)
State,ANDHRA PRADESH,212258,4,24,16203,20177,125092,161472,50758,23.9,8.9,86.1
State,ARUNACHAL PRADESH,3314,0,0,0,1000,1463,2463,851,25.7,0.1,59.4
State,ASSAM,86628,0,24,2649,13557,22710,38916,47688,55,8.4,62.6
State,BIHAR,177468,0,2,3408,19487,68729,91624,85842,48.4,15.1,77.9
State,CHHATTISGARH,45623,112,35,79,8722,33170,41971,3505,7.7,0.6,79.2
State,GOA,3485,0,0,7,769,1097,1873,1612,46.3,0.3,58.8
State,GUJARAT,121572,2,45,930,22318,86877,110125,11400,9.4,2,79.6
State,HARYANA,47440,0,0,2695,8771,28980,40446,6994,14.7,1.2,76.8
State,HIMACHAL PRADESH,14622,0,0,739,1329,10140,12208,2414,16.5,0.4,88.4
State,JAMMU & KASHMIR,27113,0,5,1573,3904,14375,19852,7256,26.8,1.3,78.6
State,JHARKHAND,58538,4,0,330,9684,21107,31121,27413,46.8,4.8,68.5
State,KARNATAKA,155797,23,796,5699,18499,80432,104630,50348,32.3,8.9,81.3
State,KERALA,135763,17,4,6674,8393,91625,106692,29050,21.4,5.1,91.6
State,MADHYA PRADESH,194642,3,152,632,27490,159646,187768,6719,3.5,1.2,85.3
State,MAHARASHTRA,245786,2,77,2495,50794,126514,179803,65904,26.8,11.6,71.4
State,MANIPUR,7586,0,25,0,2111,128,2239,5322,70.2,0.9,5.7
State,MEGHALAYA,5444,1,0,9,746,662,1417,4026,74,0.7,47
State,MIZORAM,2795,0,0,0,252,2044,2296,499,17.9,0.1,89
State,NAGALAND,2845,0,1,0,1153,1049,2202,642,22.6,0.1,47.6
State,ORISSA,61195,1,118,1766,5103,40644,47513,13563,22.2,2.4,88.8
State,PUNJAB,40032,0,209,1994,5215,19237,26446,13377,33.4,2.4,78.7
State,RAJASTHAN,145979,0,13,28959,20898,91615,141472,4494,3.1,0.8,81.4
State,SIKKIM,958,0,0,0,157,278,435,523,54.6,0.1,63.9
State,TAMIL NADU,199038,35,945,12802,8416,145181,166399,31659,15.9,5.6,94.5
State,TRIPURA,4686,0,0,25,1102,2505,3632,1054,22.5,0.2,69.4
State,UTTAR PRADESH,136223,0,1,8912,26130,86431,121473,14749,10.8,2.6,76.8
State,UTTARANCHAL,9568,0,1,641,2226,4934,7801,1766,18.5,0.3,68.9
State,WEST BENGAL,99164,0,78,313,17767,51266,69346,29740,30,5.2,74.3
State,TOTAL (STATES),2245562,204,2555,99534,306170,1317931,1723635,519168,23.1,91.3,81.1
Union Territory,A & N ISLANDS,1090,0,0,0,148,474,622,468,42.9,0.1,76.2
Union Territory,CHANDIGARH,3723,0,0,56,1078,1625,2759,964,25.9,0.2,60.1
Union Territory,D & N HAVELI,552,0,0,20,74,293,387,165,29.9,0,79.8
Union Territory,DAMAN & DIU,294,0,0,0,83,129,212,82,27.9,0,60.8
Union Territory,DELHI,109044,134,134,554,18667,42229,61450,47326,43.4,8.3,69.3
Union Territory,LAKSHADWEEP,112,0,0,0,5,22,27,85,75.9,0,81.5
Union Territory,PONDICHERRY,5281,0,23,19,159,4565,4743,515,9.8,0.1,96.6
Union Territory,TOTAL (UTs),120096,134,157,649,20214,49337,70200,49605,41.3,8.7,70.9
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),2365658,338,2712,100183,326384,1367268,1793835,568773,24,100,80.7
