Category,States/ UTs,Total No. of Persons under trial Including those from Previous Year,Total No. of Persons whose Cases Compounded or Withdrawn,Total No. of Persons whose Trial Completed,Total No. of Persons whose Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,2026,49,795,1182,114,58.3,3.8
State,Arunachal Pradesh,76,0,9,67,8,88.2,0.2
State,Assam,156,10,70,76,16,48.7,0.2
State,Bihar,307,0,14,293,2,95.4,1
State,Chhattisgarh,2807,405,609,1793,253,63.9,5.8
State,Goa,0,0,0,0,0,0,0
State,Gujarat,4394,11,340,4043,1,92,13.1
State,Haryana,0,0,0,0,0,0,0
State,Himachal Pradesh,40,0,29,11,0,27.5,0
State,Jammu & Kashmir,9,3,2,4,0,44.4,0
State,Jharkhand,633,25,187,421,37,66.5,1.4
State,Karnataka,2041,12,746,1283,30,62.9,4.2
State,Kerala,1193,3,342,848,17,71.1,2.8
State,Madhya Pradesh,12645,213,2387,10045,814,79.4,32.6
State,Maharashtra,4843,4,448,4391,16,90.7,14.3
State,Manipur,1,0,1,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0
State,Orissa,3052,0,498,2554,99,83.7,8.3
State,Punjab,0,0,0,0,0,0,0
State,Rajasthan,4624,75,1220,3329,460,72,10.8
State,Sikkim,17,0,13,4,10,23.5,0
State,Tamil Nadu,279,0,173,106,1,38,0.3
State,Tripura,13,0,0,13,0,100,0
State,Uttar Pradesh,324,0,77,247,46,76.2,0.8
State,Uttaranchal,54,0,11,43,8,79.6,0.1
State,West Bengal,16,0,3,13,2,81.3,0
State,Total (States),39550,810,7974,30766,1934,77.8,99.9
Union Territory,A & N Islands,4,0,0,4,0,100,0
Union Territory,Chandigarh,0,0,0,0,0,0,0
Union Territory,D & N Haveli,32,0,7,25,0,78.1,0.1
Union Territory,Daman & Diu,2,0,0,2,0,100,0
Union Territory,Delhi,1,0,0,1,0,100,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0
Union Territory,Total (UTs),39,0,7,32,0,82.1,0.1
Total (All-India),Total (All-India),39589,810,7981,30798,1934,77.8,100
