States/ UTs,2003,2004,2005,Percentage Variation in - 2004 over 2003,Percentage Variation in - 2005 over 2004
Andhra Pradesh,1334,1162,1049,-12.9,-9.7
Assam,182,330,290,81.3,-12.1
Bihar,2474,2593,2160,4.8,-16.7
Chhattisgarh,327,351,385,7.3,9.7
Gujarat,1553,2276,1607,46.6,-29.4
Haryana,729,931,859,27.7,-7.7
Himachal Pradesh,1,8,10,700,25
Jammu & Kashmir,25,16,21,-36,31.3
Jharkhand,598,609,503,1.8,-17.4
Karnataka,812,879,606,8.3,-31.1
Kerala,240,185,222,-22.9,20
Madhya Pradesh,2103,3540,2438,68.3,-31.1
Maharashtra,3271,3455,3136,5.6,-9.2
Orissa,720,630,641,-12.5,1.7
Punjab,377,361,295,-4.2,-18.3
Rajasthan,858,972,916,13.3,-5.8
Tamil Nadu,751,855,573,13.8,-33
Uttar Pradesh,3278,2916,2002,-11,-31.3
West Bengal,1116,1230,1164,10.2,-5.4
Delhi UT,1168,1235,1201,5.7,-2.8
Total (All-India),21917,24534,20078,11.9,-18.2
