Crime Head,2004,2005,Percentage variation in 2005 over 2004,Percentage share of arrestees under each crime during 2005
Murder,66215,65501,-1.1,2.5
Attempt to Commit Murder,67772,64726,-4.5,2.5
C.H. not Amounting to Murder,7230,6826,-5.6,0.3
Rape - Total,22489,23212,3.2,0.9
Rape - (i) Custodial Rape,1,3,200,0
Rape - (ii) Other Rape,22488,23209,3.2,0.9
Kidnapping & Abduction - Total,31104,31790,2.2,1.2
Kidnapping & Abduction - (i) of Women & Girls,19250,19326,0.4,0.7
Kidnapping & Abduction - (ii) of Others,11854,12464,5.1,0.5
Dacoity,20051,19616,-2.2,0.7
Preparation & Assembly for Dacoity,9878,11046,11.8,0.4
Robbery,27690,27990,1.1,1.1
Burglary,64455,67022,4,2.6
Theft - Total,186005,208670,12.2,8
Theft - (i) Auto Theft,37476,43442,15.9,1.7
Theft - (ii) Other Theft,148529,165228,11.2,6.3
Riots,334539,320873,-4.1,12.2
Criminal Breach of Trust,15558,15812,1.6,0.6
Cheating,48503,49860,2.8,1.9
Counterfeiting,2441,2607,6.8,0.1
Arson,11928,11681,-2.1,0.4
Hurt,489142,465009,-4.9,17.7
Dowry Death,18119,17173,-5.2,0.7
Molestation,43579,43424,-0.4,1.7
Sexual Harassment,12771,13192,3.3,0.5
Cruelty by Husband and Relatives,125657,127560,1.5,4.9
Importation of Girls,68,212,211.8,0
Causing Death by Negligence,61649,62984,2.2,2.4
Other IPC Crimes,994067,964761,-2.9,36.8
Total Cognizable Crimes Under IPC,2660910,2621547,-1.5,100
