Crime Head (Col.1),Cases Withdrawn by Govt (Col.2),No. of Cases - Compounded or Withdrawn (Col.3),No. of Cases - Convicted (Col.4),No. of Cases - Acquitted or Discharged (Col.5),No. of Cases - Total (Col.6) = {(Col.6) + (Col.7)},No. of Cases - Pending Trial at the end of the year (Col.7),Conviction Rate (Col.8) = (Col.5 / Col.7 × 100)
Murder,0.3,0.4,7.9,10.9,18.9,80.7,42.1
Rape,0,0.3,7.4,14.3,21.7,78,34
Kidnapping & Abduction,0,0.3,7.2,12,19.2,80.5,37.4
Dacoity,0,0,6.3,7.4,13.7,86.3,46.2
Robbery,0,0,5.8,11.3,17.2,82.8,34
Arson,0,0.3,6.1,15.2,21.3,78.4,28.5
Hurt,0,1.3,5.6,15.3,20.9,77.9,26.9
P.C.R. Act,0,0.1,3.1,11.9,15,84.9,20.9
SC/ST Prev. of Atrocities Act,0,0.6,4.2,11.6,15.8,83.6,26.8
Other Crime Against SCs,0,1.2,6.9,14.6,21.4,77.3,32.2
Total,0,0.9,5.6,13.3,18.9,80.2,29.8
