Category (Col.1),States/ UTs (Col.2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col.3),Cases Withdrawn by Govt. (Col.4),No. of Cases in which Investigation was Refused (Col.5),No. of Cases in which Investigation was completed - Charge Found False / Mistake of Fact or Law Etc. (Col.6),No. of Cases in which Investigation was completed - Final Report True Submitted (Col.7),No. of Cases in which Investigation was completed - Charge Sheets were Submitted (Col.8),No. of Cases in which Investigation was completed - Total  (Col.9)= {(Col.6) + (Col.7) + (Col.8)},No. of Cases Pending Investigation at the end of the year (Col.10),Pendency Percentage (Col.11),Percentage of Pendency to All India Total (Col.12),Charge Sheeting Rate  (Col.13)= {(Col.8) / (Col.7 + Col.8) × 100}
State,Andhra Pradesh,1434,0,0,158,104,708,970,464,32.4,13.6,87.2
State,Arunachal Pradesh,35,0,0,0,7,20,27,8,22.9,0.2,74.1
State,Assam,205,0,0,0,25,112,137,68,33.2,2,81.8
State,Bihar,174,0,0,2,4,39,45,129,74.1,3.8,90.7
State,Chhattisgarh,1089,0,40,24,37,947,1008,41,3.8,1.2,96.2
State,Goa,87,0,0,1,10,35,46,41,47.1,1.2,77.8
State,Gujarat,890,0,0,17,238,583,838,52,5.8,1.5,71
State,Haryana,401,0,0,42,46,236,324,77,19.2,2.3,83.7
State,Himachal Pradesh,151,0,0,13,10,88,111,40,26.5,1.2,89.8
State,Jammu & Kashmir,79,0,0,2,1,21,24,55,69.6,1.6,95.5
State,Jharkhand,173,0,0,5,7,82,94,79,45.7,2.3,92.1
State,Karnataka,220,1,1,9,42,132,183,35,15.9,1,75.9
State,Kerala,812,0,0,41,55,407,503,309,38.1,9.1,88.1
State,Madhya Pradesh,3820,0,0,14,180,3525,3719,101,2.6,3,95.1
State,Maharashtra,2770,0,2,45,384,1759,2188,580,20.9,17,82.1
State,Manipur,61,0,2,0,20,1,21,38,62.3,1.1,4.8
State,Meghalaya,173,0,0,1,1,27,29,144,83.2,4.2,96.4
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,94,0,0,1,1,66,68,26,27.7,0.8,98.5
State,Punjab,290,0,0,19,26,136,181,109,37.6,3.2,84
State,Rajasthan,587,0,0,83,146,344,573,14,2.4,0.4,70.2
State,Sikkim,30,0,0,0,0,8,8,22,73.3,0.6,100
State,Tamil Nadu,383,0,3,26,18,235,279,101,26.4,3,92.9
State,Tripura,44,0,0,0,4,23,27,17,38.6,0.5,85.2
State,Uttar Pradesh,2008,0,0,28,128,1621,1777,231,11.5,6.8,92.7
State,Uttaranchal,81,0,0,4,11,53,68,13,16,0.4,82.8
State,West Bengal,400,0,0,38,39,141,218,182,45.5,5.3,78.3
State,Total (States),16491,1,48,573,1544,11349,13466,2976,18,87.4,88
Union Territory,A & N Islands,15,0,0,0,2,7,9,6,40,0.2,77.8
Union Territory,Chandigarh,69,0,0,11,16,26,53,16,23.2,0.5,61.9
Union Territory,D & N Haveli,11,0,0,1,1,5,7,4,36.4,0.1,83.3
Union Territory,Daman & Diu,5,0,0,0,1,2,3,2,40,0.1,66.7
Union Territory,Delhi,1200,13,12,47,239,494,780,395,32.9,11.6,67.4
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,17,0,0,0,0,10,10,7,41.2,0.2,100
Union Territory,Total (UTs),1317,13,12,59,259,544,862,430,32.6,12.6,67.7
Total (All-India),Total (All-India),17808,14,60,632,1803,11893,14328,3406,19.1,100,86.8
