Crime Head (Col.1),Cases Withdrawn by Govt. (Col.2),Percentage of Cases to Total Cases for Investigation in Which Investigation was Refused (Col.3),Percentage of Cases to Total Cases for Investigation in Which Investigation was Completed - Charge Found False/Mistake of Fact or Law Etc. (Col.4),Percentage of Cases to Total Cases for Investigation in Which Investigation was Completed - Final Report True Submitted (Col.5),Percentage of Cases to Total Cases for Investigation in Which Investigation was Completed - Charge Sheets Were Submitted (Col.6),Percentage of Cases to Total Cases for Investigation in Which Investigation was Completed - Total {(Col.5)+(Col.6) +(Col.7)} (Col.7),Percentage of Cases Pending Investigation at the end of the year (Col.8),Charge sheeting Rate((Col.7) / ((Col.6) + (Col.7))? 100) (Col.9)
Murder,0,0.1,1.8,8.8,48.8,59.5,40.4,84.7
Attempt to Commit Murder,0,0.1,2.9,6.7,57.9,67.4,32.5,89.7
C.H. Not Amounting to Murder,0,0.1,2.4,8.1,56.9,67.4,32.5,87.5
Rape,0.1,0.1,4.4,2.9,61.8,69.1,30.7,95.5
Rape - (i) Custodial Rape,0,0,0,25,37.5,62.5,37.5,60
Rape - (ii) Other Rape,0.1,0.1,4.4,2.9,61.9,69.2,30.7,95.5
Kidnapping & Abduction,0.1,0.2,11.1,10.5,35.2,56.8,42.9,77
Kidnapping & Abduction - (i) Of Women & Girls,0.1,0.2,12,10.6,36.5,59.1,40.6,77.5
Kidnapping & Abduction - (ii) Of Others,0.1,0.3,9.4,10.3,32.7,52.4,47.2,76
Dacoity,0.1,0.1,1.8,11.4,30.1,43.3,56.5,72.5
Preparation & Assembly for Dacoity,0,0.1,0.3,1.9,61.6,63.8,36.1,97
Robbery,0,0.1,3.1,18.8,38.1,60,39.9,67
Burglary,0,0.1,2.1,40.7,28.9,71.7,28.2,41.5
Theft,0,0.2,2.3,38.6,29.5,70.4,29.4,43.3
Theft - (i) Auto Theft,0,0.1,2,47.7,21.3,70.9,29,30.8
Theft - (ii) Other Theft,0,0.2,2.4,34.6,33.2,70.2,29.6,49
Riots,0,0,4.4,5.4,58.2,68.1,31.9,91.5
Criminal Breach of Trust,0,0.2,7.2,11,35.2,53.3,46.5,76.2
Cheating,0,0.2,13.6,10.7,31.9,56.2,43.6,74.9
Counterfeiting,0,0.1,0.9,24.2,20.5,45.6,54.3,45.9
Arson,0,0.1,8.1,19,42.1,69.2,30.7,69
Hurt,0,0.1,3.4,4.1,76.6,84.1,15.8,94.9
Dowry Death,0,0.1,3.2,3,59.1,65.2,34.7,95.2
Molestation,0,0,4.8,2.4,77.1,84.2,15.7,97
Sexual Harassment,0,0,1.5,1.3,87.1,89.9,10.1,98.6
Cruelty by Husband and Relatives,0,0.1,8.2,3.6,63.7,75.5,24.4,94.6
Importation of Girls,0,0,2.1,3.4,22.5,28,72,86.9
Causing Death by Negligence,0,0.1,2.7,13.3,64.9,80.9,18.9,83
Other IPC Crimes,0,0.1,4.4,7,70.2,81.6,18.3,90.9
Total Cognizable Crimes Under IPC,0,0.1,4.2,13.8,57.8,75.8,24,80.7
