Category,States/ UTs,Total No. of Persons under Arrest including those from previous year,Number of Persons Released Before Trial,Number of Persons Charge Sheeted,Number of Persons under investigation at the end of the year,Pendency Percentage,Percentage Pendency to All-India Total
State,Andhra Pradesh,6318,859,3449,2010,31.8,23.3
State,Arunachal Pradesh,1,0,1,0,0,0
State,Assam,319,72,141,106,33.2,1.2
State,Bihar,5155,284,2541,2330,45.2,27
State,Chhattisgarh,678,3,649,26,3.8,0.3
State,Goa,1,0,0,1,100,0
State,Gujarat,3096,0,3004,92,3,1.1
State,Haryana,435,0,405,30,6.9,0.3
State,Himachal Pradesh,140,0,109,31,22.1,0.4
State,Jammu & Kashmir,1,0,1,0,0,0
State,Jharkhand,568,4,195,369,65,4.3
State,Karnataka,4783,229,4201,353,7.4,4.1
State,Kerala,794,27,397,370,46.6,4.3
State,Madhya Pradesh,8643,1,8560,82,0.9,1
State,Maharashtra,3454,75,2879,500,14.5,5.8
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,2189,17,1988,184,8.4,2.1
State,Punjab,419,42,192,185,44.2,2.1
State,Rajasthan,6372,0,6312,60,0.9,0.7
State,Sikkim,7,2,5,0,0,0
State,Tamil Nadu,2569,134,2076,359,14,4.2
State,Tripura,57,15,34,8,14,0.1
State,Uttar Pradesh,11424,393,9587,1444,12.6,16.8
State,Uttaranchal,281,75,176,30,10.7,0.3
State,West Bengal,33,0,14,19,57.6,0.2
State,Total (States),57737,2232,46916,8589,14.9,99.6
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0
Union Territory,D & N Haveli,4,0,0,4,100,0
Union Territory,Daman & Diu,1,0,1,0,0,0
Union Territory,Delhi,27,1,4,22,81.5,0.3
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,35,15,15,5,14.3,0.1
Union Territory,Total (UTs),67,16,20,31,46.3,0.4
Total (All-India),Total (All-India),57804,2248,46936,8620,14.9,100
