Category,States/UTs/Cities,2000,2001,2002,2003,2004,Quinquennial Average (2000-2004)(Q.A.)@,2005,Percentage change in 2005 [(+) increase (-) decrease] over - QA,Percentage change in 2005 [(+) increase (-) decrease] over - 2004
State,Andhra Pradesh,121279,130089,143610,156951,158756,142137,157123,10.5,-1
State,Arunachal Pradesh,2367,2342,2228,2061,2256,2251,2304,2.4,2.1
State,Assam,35178,36877,36346,38195,40675,37454,42006,12.2,3.3
State,Bihar,124082,88432,94040,92263,108060,101375,97850,-3.5,-9.4
State,Chhattisgarh,NA,38460,37950,38449,41927,31357,43633,39.1,4.1
State,Goa,2422,2341,2440,2244,2127,2315,2119,-8.5,-0.4
State,Gujarat,115859,103419,106675,103709,105469,107026,113414,6,7.5
State,Haryana,39490,38759,40152,38612,39096,39222,42664,8.8,9.1
State,Himachal Pradesh,11135,11499,12243,12011,12326,11843,12345,4.2,0.2
State,Jammu & Kashmir,17517,19505,19967,21233,21191,19883,20115,1.2,-5.1
State,Jharkhand,NA,25447,31439,32203,31439,24106,35175,45.9,11.9
State,Karnataka,109410,109098,113699,112405,114440,111810,117580,5.2,2.7
State,Kerala,99033,103847,104200,98824,104025,101986,104350,2.3,0.3
State,Madhya Pradesh,216441,181741,191799,191078,196867,195585,189172,-3.3,-3.9
State,Maharashtra,173466,171233,165462,164306,176302,170154,187027,9.9,6.1
State,Manipur,2577,2489,2584,2537,2535,2544,2913,14.5,14.9
State,Meghalaya,1702,1687,1664,1669,1757,1696,1880,10.9,7
State,Mizoram,2316,2246,2820,3456,1515,2471,2156,-12.7,42.3
State,Nagaland,1368,1234,1114,976,984,1135,1049,-7.6,6.6
State,Orissa,49419,46661,47728,47281,48739,47966,51685,7.8,6
State,Punjab,24374,27774,28794,28756,25630,27066,27136,0.3,5.9
State,Rajasthan,160983,155185,151248,145579,154859,153571,140917,-8.2,-9
State,Sikkim,432,444,485,443,631,487,552,13.3,-12.5
State,Tamil Nadu,151329,154801,166942,157186,166606,159373,162360,1.9,-2.5
State,Tripura,3372,2801,3075,3514,3081,3169,3356,5.9,8.9
State,Uttar Pradesh,175668,178129,146037,95073,130181,145018,122108,-15.8,-6.2
State,Uttaranchal,NA,8073,7976,7923,8634,6521,8033,23.2,-7
State,West Bengal,65834,61563,58962,61174,69350,63377,66406,4.8,-4.2
State,Total (States),1707053,1706176,1721679,1660111,1769458,1712895,1757428,2.6,-0.7
Union Territory,A & N Islands,752,658,608,644,748,682,682,0,-8.8
Union Territory,Chandigarh,2935,3397,3806,2806,2889,3167,3133,-1.1,8.4
Union Territory,D & N Haveli,440,350,349,338,409,377,434,15.1,6.1
Union Territory,Daman & Diu,251,239,261,269,198,244,243,-0.2,22.7
Union Territory,Delhi,56249,54384,49137,47404,53623,52159,56065,7.5,4.6
Union Territory,Lakshadweep,24,36,53,31,70,43,42,-1.9,-40
Union Territory,Pondicherry,3380,4068,4437,4517,4620,4204,4575,8.8,-1
