Crime Head,Total No. of Cases for Investigation Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases in which Investigation was Refused,No. of Cases in which Investigation was Completed - Charge Found False / Mistake of Fact or Law Etc.,No. of Cases in which Investigation was Completed - Final Report True Submitted,No. of Cases in which Investigation was Completed - Charge Sheets Were Submitted,No. of Cases in which Investigation was Completed - Total,No. of Cases Pending Investigation at the end of the year
Infanticide,123,0,0,9,31,62,102,21
Murder,1503,0,2,32,171,995,1198,303
Rape,4906,1,1,80,89,3738,3907,997
Kid. & Abduction,4384,13,15,363,487,2409,3259,1097
Foeticide,118,0,0,8,41,29,78,40
Abetment of Suicide,55,0,0,3,3,34,40,15
Exposure and Abandonment,1087,0,0,11,740,127,878,209
Procuration Minor Girl,209,0,0,20,29,94,143,66
Buying of Girls for Prost.,34,0,0,1,1,14,16,18
Selling of Girls for Prost,76,0,0,0,2,22,24,52
Child Marriage Restraint Act,139,0,0,13,4,88,105,34
Other Crime,5174,0,42,92,205,4281,4578,554
Total,17808,14,60,632,1803,11893,14328,3406
