SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Law etc. (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 4+5+6) (Col. 7),Number of Cases in which - Number of Cases Pending Investigation (Col. 8)
1,Murder,0.3,2,12.8,46.7,61.5,38.2
2,Attempt to Commit Murder,0.1,3.6,10.4,57.9,72,27.9
3,C.H. Not Amounting to Murder,0.1,3.3,10.3,55,68.6,31.3
4,Rape,0.1,5.9,5.7,60,71.5,28.3
5,Kidnapping & Abduction,0.4,17.4,14.4,35,66.8,32.7
5,I) Of Women & Girls,0.3,18.4,14.2,35,67.5,32.2
5,II) Of Others,1,13.7,15.3,35,64,35.1
6,Dacoity,0.1,4.9,18.8,27.6,51.3,48.6
7,Preparation & Assembly for Dacoity,0,0.8,14.6,55.4,70.8,29.2
8,Robbery,0.4,9.2,29,33.2,71.5,28.1
9,Burglary,0.5,4.2,47.3,28.8,80.4,19.1
10,Theft,0.9,4.5,43,31.5,79,20.1
11,Riots,0.5,8.7,11.9,54.9,75.5,24.1
12,Criminal Breach of Trust,0.6,7.6,16.5,34.8,58.8,40.5
13,Cheating,0.6,12.4,16,31.5,59.9,39.5
14,Counterfeiting,21.9,2.2,21.6,6.9,30.7,47.4
15,Other IPC Crimes,0.3,5.3,11.9,67.8,84.9,14.8
16,Total Cognizable Crimes Under IPC,0.5,5.5,22.2,52.2,79.9,19.6
