SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,61641,211,61852,99.7,0.3
2,Narcotic Drugs & Psychotropic Substances Act,15093,503,15596,96.8,3.2
3,Gambling Act,369189,341,369530,99.9,0.1
4,Excise Act,97221,5615,102836,94.5,5.5
5,Prohibition Act,526222,76617,602839,87.3,12.7
6,Explosive & Explosive Substances Act,5589,35,5624,99.4,0.6
7,Immoral Traffic (Prevention) Act,2327,17407,19734,11.8,88.2
8,Indian Railways Act,38658,209,38867,99.5,0.5
9,Foreigner's Registration Act,3559,603,4162,85.5,14.5
10,Protection Of Civil Rights Act,7230,331,7561,95.6,4.4
11,Indian Passport Act,861,83,944,91.2,8.8
12,Essential Commodities Act,8275,80,8455,99.1,0.9
13,Terrorist & Disruptive Activites Act,2490,18,2508,99.3,0.7
14,Antiquity & Art Treasure Act,33,1,34,97.1,2.9
15,Dowry Prohibition Act,3769,833,4602,81.9,18.1
16,Other L & SL Crimes,2348637,92275,2440912,96.2,3.8
17,Total Cognizable Crimes Under L & SL,3490894,195162,3686056,94.7,5.3
