SL. No.,Crime Head,1980 - Incidence,1980 - Volume,1985 - Incidence,1985 - Volume,1986 - Incidence,1986 - Volume,1987 - Incidence,1987 - Volume,1988 - Incidence,1988 - Volume,1989 - Incidence,1989 - Volume,Quinquennial Avg. 1985-1989 (Q.A.) - Incidence,Quinquennial Avg. 1985-1989 (Q.A.) - Volume,1990 - Incidence,1990 - Volume,Percentage Change in ((+) Increase/ (-) Decrease Over - 1980,Percentage Change in ((+) Increase/ (-) Decrease Over - Quinquennial Avg. (Q.A.),Percentage Change in ((+) Increase/ (-) Decrease Over - 1989
1,Murder,22149,3.3,25970,3.5,27269,3.6,28513,3.6,28771,3.6,31222,3.8,28349,3.6,35045,4.2,58.2,23.6,12.2
2,Attempt to Commit Murder,*,NA,*,NA,*,NA,*,NA,20689,2.6,23748,2.9,*,NA,27095,3.3,NA,NA,14.1
3,C.H. Not Amounting to Murder,3032,0.5,3995,0.5,4195,0.5,3721,0.5,3755,0.5,4100,0.5,3953,0.5,4281,0.5,41.2,8.3,4.4
4,Rape,5023,0.8,7289,1,7952,1,8559,1.1,9099,1.1,9752,1.2,8530,1.1,10068,1.2,100.4,18,3.2
5,Kidnapping & Abduction,13595,2,16051,2.1,15667,2,15251,2,15771,2,17318,2.1,16012,2,18474,2.2,35.9,15.4,6.7
5,I) Of Women & Girls,*,NA,*,NA,*,NA,*,NA,13880,1.7,14169,1.7,*,NA,14446,1.7,NA,NA,2
5,II) Of Others,*,NA,*,NA,*,NA,*,NA,1891,0.2,3149,0.4,*,NA,4028,0.5,NA,NA,27.9
6,Dacoity,15194,2.3,11254,1.5,10444,1.4,10036,1.3,9306,1.2,9896,1.2,10187,1.3,11089,1.3,-27,8.9,12.1
7,Preparation & Assembly for Dacoity,*,NA,*,NA,*,NA,*,NA,931,0.1,1015,0.1,*,NA,1286,0.2,NA,NA,26.7
8,Robbery,23493,3.5,22501,3,22395,2.9,22917,2.9,21611,2.7,22480,2.8,22381,2.9,25440,3.1,8.3,13.7,13.2
9,Burglary,166695,25.1,130354,17.4,128946,16.8,125466,16.1,124304,15.6,129020,15.9,127618,16.3,131331,15.9,-21.2,2.9,1.8
10,Theft,431036,65,330554,44,323533,42.2,310575,39.7,319848,40.2,341240,42,325150,41.6,353191,42.7,-18.1,8.6,3.5
11,Riots,106957,16.1,99757,13.3,94197,12.3,90789,11.6,94587,11.9,98943,12.2,95655,12.2,102846,12.4,-3.8,7.5,3.9
12,Criminal Breach of Trust,20684,3.1,18417,2.5,19021,2.5,17847,2.3,17352,2.2,17541,2.2,18036,2.3,16552,2,-20,-8.2,-5.6
13,Cheating,17416,2.6,21016,2.8,22579,2.9,22115,2.8,22705,2.9,23691,2.9,22421,2.9,24466,3,40.5,9.1,3.3
14,Counterfeiting,830,0.1,1504,0.2,1687,0.2,1653,0.2,1537,0.2,2075,0.3,1691,0.2,2576,0.3,210.4,52.3,24.1
15,Other IPC Crimes,542425,81.7,696069,92.7,727950,95,749550,95.9,750090,94.2,797803,98.3,744292,95.3,840709,101.7,55,13,5.4
16,Total Cognizable Crimes Under IPC,1368529,206.2,1384731,184.4,1405835,183.5,1406992,180.1,1440356,180.8,1529844,188.5,1433552,183.5,1604449,194,17.2,11.9,4.9
