SL. No.,Year,Estimated Mid-Year Population* (in Lakhs)**,Incidence - Indian Panel Code (IPC),Incidence - Local & Special Laws (LSL),Incidence - Total,Volume - Indian Panel Code (IPC),Volume - Local & Special Laws (LSL),Volume - Total,Percentage of IPC Crimes to Total Cognizable Crimes
1,1980,6636,1368529,2583700,3952229,206.2,389.3,595.6,34.6
2,1981,6901,1385757,2546399,3932156,200.8,369,569.8,35.2
3,1982,7052,1353904,2970068,4323972,192,421.2,613.2,31.3
4,1983,7204,1349866,2921063,4270929,187.4,405.5,592.9,31.6
5,1984,7356,1358660,2916808,4275468,184.7,396.5,581.2,31.8
6,1985,7509,1384731,3096481,4481212,184.4,412.4,596.8,30.9
7,1986,7661,1405835,2984654,4390489,183.5,389.6,573.1,32
8,1987,7814,1406992,3589326,4996318,180.1,459.3,639.4,28.2
9,1988,7966,1440356,3765669,5206025,180.8,472.7,653.5,27.7
10,1989,8118,1529844,3847665,5377509,188.5,474,662.4,28.4
11,1990,8270,1604449,3293563,4898012,194,398.3,592.3,32.8
Percentage Change in 1990 Over 1980,Percentage Change in 1990 Over 1980,24.6,17.2,27.5,23.9,-5.9,2.3,-0.6,-5.2
Compound Growth Rate Per Annum,Compound Growth Rate Per Annum,2.1,1.4,3.7,3,-0.7,1.6,0.8,-1.5
