SL. No.,Crime Head,1980,1985,1986,1987,1988,1989,Quinquennial Avg. 1985-1989 (Q.A.),1990,Percentage Change in 1990** [(+) Increase / (-)Decrease] Over - 1980,Percentage Change in 1990** [(+) Increase / (-)Decrease] Over - Quinquennial Avg. (Q.A.),Percentage Change in 1990** [(+) Increase / (-)Decrease] Over - 1989
1,Murder,1038,1178,1241,1295,661,496,974,377,-63.7,-61.3,-24
2,Attempt to Commit Murder,*,*,*,*,271,255,*,218,NA,NA,-14.5
3,C.H. Not Amounting to Murder,89,185,118,133,41,52,106,38,-57.3,-64.1,-26.9
4,Rape,459,371,638,608,317,263,439,184,-59.9,-58.1,-30
5,Kidnapping & Abduction,482,628,607,648,314,179,475,92,-80.9,-80.6,-48.6
5,I) Of Women & Girls,*,*,*,*,283,142,*,83,NA,NA,-41.5
5,II) Of Others,*,*,*,*,31,37,*,9,NA,NA,-75.7
6,Dacoity,455,349,415,415,226,136,308,116,-74.5,-62.4,-14.7
7,Preparation & Assembly for Dacoity,*,*,*,*,25,15,*,9,NA,NA,-40
8,Robbery,941,751,755,772,408,258,589,185,-80.3,-68.6,-28.3
9,Burglary,6434,4793,5042,5153,2722,2131,3968,1764,-72.6,-55.5,-17.2
10,Theft,17093,11297,11873,11414,5584,4470,8928,3778,-77.9,-57.7,-15.5
11,Riots,8384,6560,6303,6712,3021,1916,4902,1525,-81.8,-68.9,-20.4
12,Criminal Breach of Trust,287,265,228,264,157,47,192,104,-63.8,-45.9,121.3
13,Cheating,292,227,252,311,77,78,189,47,-83.9,-75.1,-39.7
14,Counterfeiting,2,20,5,14,1,4,9,0,-100,-100,-100
15,Other IPC Crimes,19173,22693,28410,24871,11002,8157,19027,6793,-64.6,-64.3,-16.7
16,Total Cognizable Crimes Under IPC,55129,49317,55887,52610,24827,18457,40220,15230,-62.1,-62.1,-17.5
