SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Law etc. (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets Were Laid (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 4+5+6) (Col. 7),Percentage of Cases to Total Cases for Investigation in which - Percentage of Cases Pending Investigation (Col. 8)
1,Arms Act,0,0.3,1.8,84.6,86.7,13.2
2,Narcotic Drugs & Psychotropic Substances Act,0.1,0.3,1.9,66.1,68.3,31.5
3,Gambling Act,0,0,0.2,96.1,96.3,3.7
4,Excise Act,1.1,0.1,1.9,85.3,87.4,11.5
5,Prohibition Act,0.9,0.5,4,80.6,85.2,13.9
6,Explosive & Explosive Substances Act,0.1,1.6,16,39.1,56.7,43.2
7,Immoral Traffic (P) Act,0,0.1,0,90.4,90.4,9.6
8,Indian Railways Act,10.1,0.6,2.6,83.4,86.6,3.3
9,Registration of Foreigners Act,0.2,0.7,1.4,89.9,91.9,7.8
10,Protection Of Civil Rights Act,0.6,13.9,2.4,67.8,84.1,15.3
11,Indian Passport Act,5.4,1.7,4.7,67.2,73.5,21.1
12,Essential Commodities Act,0.1,3.5,6.1,52.4,62,38
13,Terrorist & Disruptive Activites Act,0,0.2,24.6,6.5,31.3,68.6
14,Antiquity & Art Treasure Act,8.7,8.7,17.4,30.4,56.5,34.8
15,Dowry Prohibition Act,0.2,7.3,4,62.1,73.4,26.3
16,Other L & SL Crimes,0.1,2.2,1.4,93.5,97.1,2.8
17,Total Cognizable Crimes Under L & SL,0.4,1.6,2,89.8,93.4,6.1
