SL. No.,Category,State/UT/City,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,State,Andhra Pradesh,2082,1005.7,48.3
2,State,Arunachal Pradesh,67.9,23.5,34.6
3,State,Assam,886.3,114,12.9
4,State,Bihar,2026.1,212.7,10.5
5,State,Goa,164.4,39.8,24.2
6,State,Gujarat,4272.4,666.5,15.6
7,State,Haryana,1043.4,792.9,76
8,State,Himachal Pradesh,260.9,103.7,39.7
9,State,Jammu & Kashmir,475.2,119.7,25.2
10,State,Karnataka,2054.1,839.8,40.9
11,State,Kerala,1459.7,376,25.8
12,State,Madhya Pradesh,2260.2,743.3,32.9
13,State,Maharashtra,7063.8,1727.2,24.5
14,State,Manipur,62.7,13.9,22.2
15,State,Meghalaya,83.2,17.3,20.8
16,State,Mizoram,127.3,76.6,60.2
17,State,Nagaland,380.2,67.6,17.8
18,State,Orissa,732.8,198.2,27
19,State,Punjab,1986.7,864.8,43.5
20,State,Rajasthan,1323,878.6,66.4
21,State,Sikkim,29.8,7.6,25.5
22,State,Tamil Nadu,1335.7,809.7,60.6
23,State,Tripura,49.4,3.9,7.9
24,State,Uttar Pradesh,6248.8,1160.9,18.6
25,State,West Bengal,2771.5,492.7,17.8
Total (States),State,Total (States),39247.5,11356.6,28.9
26,UT,A & N Islands,11.8,1.9,16.1
27,UT,Chandigarh,109.8,40.8,37.2
28,UT,D & N Haveli,35.3,15.3,43.3
29,UT,Daman & Diu,3.7,0.7,18.9
30,UT,Delhi,2357.5,424.8,18
31,UT,Lakshadweep,2.3,0,0
32,UT,Pondicherry,48.7,14.9,30.6
Total (UTs),UT,Total (UTs),2569.2,498.4,19.4
Total (All -India),Total (All -India),Total (All -India),41816.8,11855,28.3
33,City,Ahmedabad,1528.2,176.7,11.6
34,City,Bangalore,671.9,317.1,47.2
35,City,Bombay,2166.8,692.4,32
36,City,Calcutta,988.7,375.6,38
37,City,Delhi,2266.8,413.9,18.3
38,City,Hyderabad,358.6,112.7,31.4
39,City,Jaipur,176.9,92.2,52.1
40,City,Kanpur,768.1,41.2,5.4
41,City,Lucknow,162.2,34.2,21.1
42,City,Madras,320.4,225.9,70.5
43,City,Nagpur,322.9,59.9,18.6
44,City,Pune,442,110.2,24.9
