SL. No.,Category,State/UT/City,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Registration of Foreigners Act,Protection Of Civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Other LSL Crimes,Total Cognizable Crimes Under LSL
1,State,Andhra Pradesh,0,1,117,2,0,0,11,0,0,0,0,0,1,0,1,316,449
2,State,Arunachal Pradesh,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,3,1,3,12,0,13,0,0,0,0,0,0,11,0,0,16,48
4,State,Bihar,52,4,38,56,0,0,0,33,0,0,0,35,0,0,8,140,379
5,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
6,State,Gujarat,0,1,39,0,369,0,1,0,1,1,0,0,0,0,0,298,710
7,State,Haryana,32,18,153,42,182,0,0,12,0,0,0,0,0,0,0,68,507
8,State,Himachal Pradesh,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,8
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka,0,2,2,2,0,0,1,0,0,3,0,1,0,0,0,6,17
11,State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Madhya Pradesh,31,1,118,207,0,1,0,13,0,4,0,3,0,0,2,605,985
13,State,Maharashtra,32,0,879,0,2197,0,0,0,0,0,0,0,0,0,0,509,3617
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Mizoram,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,21
17,State,Nagaland,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,20,24
18,State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,168
19,State,Punjab,15,0,15,13,0,0,0,0,0,0,1,0,0,0,0,5,49
20,State,Rajasthan,0,1,25,7,0,0,0,11,0,1,0,0,0,0,0,22,67
21,State,Sikkim,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,32,36
22,State,Tamil Nadu,0,5,315,0,1123,1,323,0,0,0,0,0,0,0,0,5881,7648
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,1,0,1,36,0,0,0,0,0,0,0,0,0,0,2,2,42
25,State,West Bengal,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,6,13
Total (States),State,Total (States),169,37,1707,386,3871,17,336,70,26,9,1,39,12,0,13,8097,14790
26,UT,A & N Islands,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,2,9
Total (All -India),Total (All -India),Total (All -India),169,38,1707,386,3871,17,341,70,27,9,1,39,12,0,13,8099,14799
33,City,Ahmedabad,0,0,10,0,27,0,1,0,0,0,0,0,0,0,0,75,113
34,City,Bangalore,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,7
35,City,Bombay,47,0,145,0,6,0,4,0,10,0,0,0,0,0,0,203,415
36,City,Calcutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,City,Delhi,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6
38,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,City,Madras,0,4,200,0,0,0,0,0,0,0,0,0,0,0,0,1600,1804
43,City,Nagpur,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,62,92
44,City,Pune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
