SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 3),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total (Col. 4+5) (Col. 6),Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 7)
1,Arms Act,0.7,14.8,8.6,23.4,75.9
2,Narcotic Drugs & Psychotropic Substances Act,1,7.2,11.2,18.4,80.7
3,Gambling Act,0.2,40.2,4.7,44.9,54.9
4,Excise Act,0.2,22.7,8.3,31,68.8
5,Prohibition Act,2,28.4,8.9,37.3,60.7
6,Explosive & Explosive Substances Act,4,10.7,7,17.7,78.3
7,Immoral Traffic (P) Act,1,58.5,7,65.4,33.6
8,Indian Railways Act,3,72.6,1.3,74,23
9,Registration of Foreigners Act,0.4,33.2,3.8,37,62.6
10,Protection Of Civil Rights Act,1.3,5.3,15.4,20.7,78
11,Indian Passport Act,4.2,28.9,11.9,40.8,55
12,Essential Commodities Act,0.3,7.7,7.1,14.8,85
13,Terrorist & Disruptive Activites Act,12.1,1.7,17.9,19.6,68.3
14,Antiquity & Art Treasure Act,6.7,0,26.7,26.7,66.7
15,Dowry Prohibition Act,1.2,5.3,11,16.3,82.5
16,Other L & SL Crimes,3.1,64.5,4.8,69.3,27.6
17,Total Cognizable Crimes Under L & SL,2.4,48.3,6.3,54.6,43
