SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Murder,77924,2486,80410,96.9,3.1
2,Attempt to Commit Murder,64516,1182,65698,98.2,1.8
3,C.H. Not Amounting to Murder,9689,230,9919,97.7,2.3
4,Rape,14288,94,14382,99.3,0.7
5,Kidnapping & Abduction,24663,981,25644,96.2,3.8
5,I) Of Women & Girls,18481,803,19284,95.8,4.2
5,II) Of Others,6182,178,6360,97.2,2.8
6,Dacoity,35225,136,35361,99.6,0.4
7,Preparation & Assembly for Dacoity,5123,2,5125,100,0
8,Robbery,33728,127,33855,99.6,0.4
9,Burglary,90659,1104,91763,98.8,1.2
10,Theft,213330,5061,218391,97.7,2.3
11,Riots,551097,16501,567598,97.1,2.9
12,Criminal Breach of Trust,16021,241,16262,98.5,1.5
13,Cheating,21165,474,21639,97.8,2.2
14,Counterfeiting,1087,16,1103,98.5,1.5
15,Other IPC Crimes,1207088,46772,1253860,96.3,3.7
16,Total Cognizable Crimes Under IPC,2365603,75407,2441010,96.9,3.1
