SL. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Trial Including Pending Cases (Col. 3),Number of Cases - Compounded or Withdrawn (Col. 4),Number of Cases - in which Trials were Completed - Convicted (Col. 5),Number of Cases - in which Trials were Completed - Acquitted or Discharged (Col. 6),Number of Cases - in which Trials were Completed - Total (Col. 5+6) (Col. 7),Number of Cases - Pending Trial (Col. 8)
1,Arms Act,202882,1509,30002,17430,47432,153941
2,Narcotic Drugs & Psychotropic Substances Act,42267,409,3034,4733,7767,34091
3,Gambling Act,334111,684,134203,15842,150045,183382
4,Excise Act,261070,587,59197,21784,80981,179502
5,Prohibition Act,1442926,28984,409162,129082,538244,875698
6,Explosive & Explosive Substances Act,11521,458,1230,812,2042,9021
7,Immoral Traffic (P) Act,22335,220,13055,1559,14614,7501
8,Indian Railways Act,44933,1341,32630,605,33235,10357
9,Registration of Foreigners Act,3374,15,1119,129,1248,2111
10,Protection Of Civil Rights Act,7860,103,414,1210,1624,6133
11,Indian Passport Act,1238,52,358,147,505,681
12,Essential Commodities Act,21723,58,1671,1540,3211,18454
13,Terrorist & Disruptive Activites Act,647,78,11,116,127,442
14,Antiquity & Art Treasure Act,15,1,0,40,4,10
15,Dowry Prohibition Act,4479,53,239,493,732,3694
16,Other L & SL Crimes,2931978,90831,1891073,140806,2031879,809268
17,Total Cognizable Crimes Under L & SL,5333359,125383,2577398,336292,2913690,2294286
