Sl. No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Murder (Section 302 IPC) - Male (Col. 4),Murder (Section 302 IPC) - Female (Col. 5),Murder (Section 302 IPC) - Total (Col. 6),Attempt To Commit Murder (Section 307 IPC) - Male (Col. 7),Attempt To Commit Murder (Section 307 IPC) - Female (Col. 8),Attempt To Commit Murder (Section 307 IPC) - Total (Col. 9),Culpable Homicide Not Amounting To Murder (Section 304 IPC) - Male (Col. 10),Culpable Homicide Not Amounting To Murder (Section 304 IPC) - Female (Col. 11),Culpable Homicide Not Amounting To Murder (Section 304 IPC) - Total (Col. 12),Attempt to Commit Culpable Homicide (Section 308 IPC) - Male (Col. 13),Attempt to Commit Culpable Homicide (Section 308 IPC) - Female (Col. 14),Attempt to Commit Culpable Homicide (Section 308 IPC) - Total (Col. 15),Rape (Section 376 IPC) - Male (Col. 16),Rape (Section 376 IPC) - Female (Col. 17),Rape (Section 376 IPC) - Total (Col. 18),"Dacoity (Section 395,396 & 398 IPC) - Dacoity (Section 395,396 & 398 IPC)(Total) - Male (Col. 19)","Dacoity (Section 395,396 & 398 IPC) - Dacoity (Section 395,396 & 398 IPC)(Total) - Female (Col. 20)","Dacoity (Section 395,396 & 398 IPC) - Dacoity (Section 395,396 & 398 IPC)(Total) - Total (Col. 21)","Dacoity (Section 395,396 & 398 IPC) - Dacoity With Murder (Section 396 IPC) - Male (Col. 22)","Dacoity (Section 395,396 & 398 IPC) - Dacoity With Murder (Section 396 IPC) - Female (Col. 23)","Dacoity (Section 395,396 & 398 IPC) - Dacoity With Murder (Section 396 IPC) - Total (Col. 24)","Dacoity (Section 395,396 & 398 IPC) - Others - Male (Col. 25)","Dacoity (Section 395,396 & 398 IPC) - Others - Female (Col. 26)","Dacoity (Section 395,396 & 398 IPC) - Others - Total (Col. 27)",Making Preparation and Assembly for committing Dacoity (Section 399 & 420 IPC) - Male (Col. 28),Making Preparation and Assembly for committing Dacoity (Section 399 & 420 IPC) - Female (Col. 29),Making Preparation and Assembly for committing Dacoity (Section 399 & 420 IPC) - Total (Col. 30),"Robbery (Section 392 to 394, 397 and 398 IPC) - Male (Col. 31)","Robbery (Section 392 to 394, 397 and 398 IPC) - Female (Col. 32)","Robbery (Section 392 to 394, 397 and 398 IPC) - Total (Col. 33)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Grievous Hurt (Total) - Male (Col. 34)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Grievous Hurt (Total) - Female (Col. 35)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Grievous Hurt (Total) - Total (Col. 36)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Grievous Hurt (Section 325 & 326 IPC) - Male (Col. 37)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Grievous Hurt (Section 325 & 326 IPC) - Female (Col. 38)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Grievous Hurt (Section 325 & 326 IPC) - Total (Col. 39)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Acid Attack (Section 326A IPC) - Male (Col. 40)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Acid Attack (Section 326A IPC) - Female (Col. 41)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Acid Attack (Section 326A IPC) - Total (Col. 42)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Attempt to Acid Attack (Section 326B IPC) - Male (Col. 43)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Attempt to Acid Attack (Section 326B IPC) - Female (Col. 44)","Grievous Hurt (Sections 325,326,326A & 326 B IPC) - Attempt to Acid Attack (Section 326B IPC) - Total (Col. 45)",Extortion (Section 384-389 IPC) - Male (Col. 46),Extortion (Section 384-389 IPC) - Female (Col. 47),Extortion (Section 384-389 IPC) - Total (Col. 48),Cheating (Section 420 IPC) - Male (Col. 49),Cheating (Section 420 IPC) - Female (Col. 50),Cheating (Section 420 IPC) - Total (Col. 51),Other IPC Crimes - Male (Col. 52),Other IPC Crimes - Female (Col. 53),Other IPC Crimes - Total (Col. 54),Total Cognizable IPC Crimes against Senior Citizens - Male (Col. 55),Total Cognizable IPC Crimes against Senior Citizens - Female (Col. 56),Total Cognizable IPC Crimes against Senior Citizens - Total (Col. 57)
1,State,Andhra Pradesh,103,6,109,59,6,65,9,0,9,0,0,0,2,0,2,8,0,8,0,0,0,8,0,8,0,0,0,42,1,43,46,3,49,45,3,48,1,0,1,0,0,0,23,0,23,120,5,125,1648,202,1850,2060,223,2283
2,State,Arunachal Pradesh,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,7,1,8
3,State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,1,1,2,0,0,0,13,1,14,16,2,18
4,State,Bihar,35,0,35,102,8,110,1,0,1,39,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,80,9,89,80,9,89,0,0,0,0,0,0,0,0,0,6,0,6,210,0,210,480,28,508
5,State,Chhattisgarh,85,5,90,14,0,14,4,0,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,46,4,50,46,4,50,0,0,0,0,0,0,0,0,0,46,0,46,1130,51,1181,1337,60,1397
6,State,Goa,4,0,4,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,1,0,1,31,4,35,48,4,52
7,State,Gujarat,56,3,59,7,0,7,0,0,0,0,0,0,2,0,2,9,0,9,0,0,0,9,0,9,0,0,0,14,0,14,20,0,20,20,0,20,0,0,0,0,0,0,2,0,2,12,2,14,151,12,163,273,17,290
8,State,Haryana,35,1,36,7,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18,17,1,18,0,0,0,0,0,0,0,0,0,12,0,12,165,13,178,237,15,252
9,State,Himachal Pradesh,11,2,13,4,0,4,3,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,2,9,7,2,9,0,0,0,0,0,0,0,0,0,2,0,2,223,30,253,253,34,287
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
12,State,Karnataka,64,1,65,53,15,68,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0,102,0,102,37,2,39,37,2,39,0,0,0,0,0,0,0,0,0,71,6,77,445,57,502,775,81,856
13,State,Kerala,23,0,23,21,0,21,10,0,10,16,0,16,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,37,2,39,37,2,39,0,0,0,0,0,0,0,0,0,37,0,37,440,18,458,593,20,613
14,State,Madhya Pradesh,207,7,214,93,1,94,9,0,9,1,0,1,4,0,4,8,0,8,2,0,2,6,0,6,0,0,0,90,0,90,278,6,284,278,6,284,0,0,0,0,0,0,6,0,6,68,0,68,4777,184,4961,5541,198,5739
15,State,Maharashtra,240,18,258,140,6,146,10,0,10,0,0,0,9,0,9,98,0,98,0,0,0,98,0,98,0,0,0,597,7,604,533,61,594,533,61,594,0,0,0,0,0,0,20,0,20,344,23,367,2737,219,2956,4728,334,5062
16,State,Manipur,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,6
17,State,Meghalaya,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,5,0,5
18,State,Mizoram,2,0,2,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,8
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,34,2,36,22,0,22,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,49,0,49,49,0,49,0,0,0,0,0,0,3,0,3,21,0,21,356,5,361,493,7,500
21,State,Punjab,63,3,66,11,0,11,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,8,0,8,33,4,37,128,7,135
22,State,Rajasthan,33,4,37,5,0,5,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,27,9,36,27,9,36,0,0,0,0,0,0,4,0,4,28,1,29,434,23,457,541,37,578
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3
24,State,Tamil Nadu,241,5,246,96,4,100,0,0,0,0,0,0,3,0,3,17,0,17,0,0,0,17,0,17,0,0,0,92,6,98,12,2,14,12,2,14,0,0,0,0,0,0,9,0,9,162,6,168,1643,194,1837,2275,217,2492
25,State,Telangana,67,6,73,6,0,6,2,0,2,0,0,0,4,0,4,10,0,10,0,0,0,10,0,10,0,0,0,16,0,16,5,0,5,5,0,5,0,0,0,0,0,0,4,0,4,97,9,106,682,52,734,893,67,960
26,State,Tripura,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,0,9
27,State,Uttar Pradesh,440,9,449,35,0,35,60,0,60,0,0,0,4,0,4,24,0,24,8,0,8,16,0,16,0,0,0,56,0,56,136,0,136,136,0,136,0,0,0,0,0,0,11,0,11,89,2,91,100,0,100,955,11,966
28,State,Uttarakhand,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3
29,State,West Bengal,16,0,16,10,0,10,4,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,38,0,38,38,0,38,0,0,0,0,0,0,2,0,2,16,0,16,56,0,56,149,0,149
TOTAL (STATES),State,TOTAL (STATES),1774,73,1847,692,40,732,117,0,117,58,11,69,57,0,57,176,0,176,10,0,10,166,0,166,0,0,0,1042,14,1056,1396,101,1497,1395,101,1496,1,0,1,0,0,0,86,1,87,1142,54,1196,15283,1069,16352,21823,1363,23186
30,UT,A & N Islands,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,11,0,11
31,UT,Chandigarh,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,15,0,15,25,0,25
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,UT,Delhi UT,20,0,20,3,0,3,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,78,8,0,8,8,0,8,0,0,0,0,0,0,1,0,1,85,0,85,182,0,182,385,0,385
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,8,0,8
TOTAL (UTS),UT,TOTAL (UTS),24,0,24,4,0,4,2,0,2,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80,12,0,12,12,0,12,0,0,0,0,0,0,1,0,1,92,0,92,206,0,206,429,0,429
TOTAL ALL INDIA,TOTAL ALL INDIA,TOTAL ALL INDIA,1798,73,1871,696,40,736,119,0,119,66,11,77,57,0,57,176,0,176,10,0,10,166,0,166,0,0,0,1122,14,1136,1408,101,1509,1407,101,1508,1,0,1,0,0,0,87,1,88,1234,54,1288,15489,1069,16558,22252,1363,23615
