Crime Head(Col. 1),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Male(Col. 2),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Female(Col. 3),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Male(Col. 4),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Female(Col. 5),Total -Male (Col. 6)= (col. 2+4),Total -Female (Col. 7) = (Col. 3+5),Persons Arrested During the Year - Male(Col. 8),Persons Arrested During the Year - Female(Col. 9),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Male(Col. 10),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Female(Col. 11),Number of Persons Charge Sheeted During the Year - Male(Col. 12),Number of Persons Charge Sheeted During the Year - Female(Col. 13),Persons in Custody during the Stage of Investigation at the End of the Year - Male(Col. 14),Persons in Custody during the Stage of Investigation at the End of the Year - Female(Col. 15),Persons on Bail during the Stage of Investigation at the End of the Year - Male(Col. 16),Persons on Bail during the Stage of Investigation at the End of the Year - Female(Col. 17)
1 Murder,16852,674,21468,1048,38320,1722,58185,3974,5067,196,54361,3679,16468,682,20609,1139
2 Attempt to commit Murder,11946,351,25129,1133,37075,1484,90044,3893,3761,85,81267,3287,12672,518,29419,1487
3 Culpable Homicide not amounting to Murder,1355,26,1850,53,3205,79,6298,188,614,16,5332,163,1260,25,2297,63
4 Attempt to commit Culpable Homicide,629,23,2055,27,2684,50,9614,281,271,4,8010,266,830,9,3187,52
5 Rape,6513,60,9374,243,15887,303,40915,1121,2252,73,38529,965,5586,82,10435,304
5.1 Custodial Rape,21,0,27,0,48,0,134,0,18,0,136,0,9,0,19,0
5.1.1 Gang Rape,0,0,0,0,0,0,10,0,0,0,4,0,2,0,4,0
5.1.2 Other Rape,21,0,27,0,48,0,124,0,18,0,132,0,7,0,15,0
5.2 Rape other than Custodial,6492,60,9347,243,15839,303,40781,1121,2234,73,38393,965,5577,82,10416,304
5.2.1 Gang Rape,397,1,507,23,904,24,4647,60,514,9,3968,53,436,1,633,21
