Crime Head (Col.1),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Male (Col.2),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Female (Col.3),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Male (Col.4),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Female (Col.5),Total  - Male (Col.6) = (col. 2+4),Total  - Female (Col.7) = (Col. 3+5),Persons Arrested During the Year - Male (Col.8),Persons Arrested During the Year - Female (Col.9),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Male (Col.10),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Female (Col.11),Number of Persons Charge Sheeted During the Year - Male (Col.12),Number of Persons Charge Sheeted During the Year - Female (Col.13),Persons in Custody during the Stage of Investigation at the End of the Year - Male (Col.14),Persons in Custody during the Stage of Investigation at the End of the Year - Female (Col.15),Persons on Bail during the Stage of Investigation at the End of the Year - Male (Col.16),Persons on Bail during the Stage of Investigation at the End of the Year - Female (Col.17)
1 Murder,363,19,413,19,776,38,2287,157,70,10,2187,139,315,11,491,35
2 Infanticide,10,0,34,3,44,3,46,12,14,0,51,13,8,0,17,2
3 Rape,1208,7,2538,65,3746,72,12220,253,203,0,11839,236,1149,15,2775,74
4 Assault on Women with Intent to Outrage her Modesty,290,1,1817,13,2107,14,9528,63,164,1,8881,63,400,2,2190,11
4.1 Sexual Harassment,76,0,680,4,756,4,4139,27,123,0,3820,31,150,0,802,0
4.2 Assault on Women with Intent to Disrobe,13,0,121,0,134,0,563,3,16,0,534,1,24,0,123,2
4.3 Voyeurism,0,0,41,0,41,0,47,1,0,0,51,1,4,0,33,0
4.4 Stalking,25,0,230,2,255,2,1058,8,3,0,924,7,62,0,324,3
4.5 Others assault,176,1,745,7,921,8,3721,24,22,1,3552,23,160,2,908,6
5 Insult to the Modesty of Women (Girls Children),6,0,143,4,149,4,374,1,5,0,336,4,13,0,169,1
6 Kidnapping & Abduction,2934,65,8191,247,11125,312,27161,893,4790,214,20972,698,3086,64,9438,229
6.1 Kidnapping & Abduction,722,29,3289,80,4011,109,9112,382,1246,90,7103,252,991,36,3783,113
6.2 Kidnaping & Abduction in Order to Murder,28,1,111,1,139,2,296,2,61,0,230,4,74,0,70,0
6.3 Kidnapping for Ransom,50,0,45,0,95,0,208,3,3,0,220,3,31,0,49,0
6.4 Kidnapping & Abduction of Women to Compel her for Marriage,1613,24,3352,112,4965,136,14678,451,3175,107,10372,381,1643,18,4453,81
6.5 Other Kidnapping,521,11,1394,54,1915,65,2867,55,305,17,3047,58,347,10,1083,35
7 Foeticide,2,0,6,2,8,2,45,13,1,0,34,12,2,1,16,2
8 Abetment of Suicide of Child,1,0,27,2,28,2,54,3,2,1,61,1,0,0,19,3
9 Exposure and Abandonment,12,10,125,20,137,30,93,46,27,0,85,43,9,2,109,31
10 Procuration of Minor girls,360,8,454,9,814,17,2471,10,255,1,1510,10,199,6,1321,10
11 Importation of Girls from Foreign Country,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0
12 Buying of Minors for Prostitution,13,0,36,0,49,0,6,9,0,0,13,2,23,0,19,7
13 Selling of Minors for Prostitution,60,5,106,3,166,8,124,12,2,1,144,13,53,4,91,2
"14 Prohibition of Child Marriage Act, 2006",59,18,215,41,274,59,550,154,46,13,538,118,28,14,212,68
"15 Transplantation of Human Organs Act, 1994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16 Child Labour (Prohibition & Regulation) Act, 1986",17,0,88,3,105,3,250,7,4,0,196,2,53,4,102,4
16.1 Offences Committed against Migrant,0,0,19,0,19,0,55,3,0,0,52,1,5,1,17,1
16.1.1 Offences Committed against SC Migrants,0,0,2,0,2,0,4,0,0,0,4,0,2,0,0,0
16.1.2 Offences Committed against ST Migrants,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
16.1.3 Offences Committed against Others Migrants,0,0,17,0,17,0,50,3,0,0,47,1,3,1,17,1
16.2 Offences Committed against Locals,17,0,69,3,86,3,195,4,4,0,144,1,48,3,85,3
16.2.1 Offences Committed against Local SCs,0,0,1,0,1,0,9,1,1,0,9,1,0,0,0,0
16.2.2 Offences Committed against Local STs,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
16.2.3 Offences Committed against Others Locals,17,0,68,3,85,3,184,3,3,0,133,0,48,3,85,3
"17 Immoral Traffic (Prevention) Act, 1956",29,18,140,25,169,43,106,37,10,6,121,39,24,12,120,23
17.1 Under ITP Section 5,0,0,13,5,13,5,67,27,0,0,64,25,9,2,7,5
17.2 Under ITP Section 6,0,0,8,0,8,0,7,0,0,0,4,0,0,0,11,0
17.3 Under ITP Section 7,0,0,12,0,12,0,3,1,0,0,6,1,0,0,9,0
17.4 Under ITP Section 8,0,0,1,0,1,0,3,0,0,0,4,0,0,0,0,0
17.5 Other Section of ITP Act,29,18,106,20,135,38,26,9,10,6,43,13,15,10,93,18
"18 Juvenile Justice (Care and Protection of Children) Act, 2000",52,3,229,16,281,19,1504,191,3,0,1244,124,104,27,434,59
"19 Protection of Children from Sexual Offences Act, 2012",625,6,1818,18,2443,24,18443,208,821,0,16132,192,929,8,3004,32
19.1 Under PCSO Act Section 4,329,3,727,17,1056,20,8446,109,423,0,7402,109,469,6,1208,14
19.2 Under PCSO Act Section 6,78,1,135,0,213,1,2315,23,35,0,1899,19,159,0,435,5
19.3 Under PCSO Act Section 8,146,2,416,0,562,2,4901,34,261,0,4273,30,202,2,727,4
19.4 Under PCSO Act Section 10,12,0,50,0,62,0,365,8,7,0,303,8,17,0,100,0
19.5 Under PCSO Act Sections 14 & 15,1,0,6,0,7,0,107,0,8,0,95,0,3,0,8,0
19.6 Other Acts of PCSO,59,0,484,1,543,1,2309,34,87,0,2160,26,79,0,526,9
20 Attempt to Commit Murder,263,7,839,22,1102,29,418,4,284,0,459,9,121,6,656,18
21 Unnatural Offences,43,3,120,0,163,3,827,6,28,0,722,9,64,0,176,0
22 Human Trafficking (Section 370 & 370A IPC),23,0,9,0,32,0,261,39,3,0,227,37,17,0,46,2
23 Other Crimes Committed against Children,356,8,1692,57,2048,65,9697,363,164,8,9324,336,392,14,1865,70
Total crimes against Children,6726,178,19040,569,25766,747,86467,2482,6896,255,75077,2100,6990,191,23270,683
