Crime Head,Number of Cases reported - 2005,Number of Cases reported - 2010,Number of Cases reported - 2011,Number of Cases reported - 2012,Number of Cases reported - 2013,Number of Cases reported - 2014,Number of Cases reported - Quinquennial Average (2010-2014),Number of Cases reported - 2015,Rate - 2005,Rate - 2010,Rate - 2011,Rate - 2012,Rate - 2013,Rate - 2014,Rate - Quinquennial Average (2010-2014),Rate - 2015,Percentage Change In 2015 Increase(+)/Decrease(-) Over 2005,Percentage Change In 2015 Increase(+)/Decrease(-) Over Q.A.,Percentage Change In 2015 Increase(+)/Decrease(-) Over 2014
1 Murder,32719,33335,34305,34434,33201,33981,33851,32127,3,2.8,2.8,2.8,2.7,2.7,2.8,2.6,-1.8,-5.1,-5.5
2 Attempt to Commit Murder,28031,29421,31385,35138,35417,41791,34630,46471,2.5,2.5,2.6,2.9,2.9,3.4,2.8,3.7,65.8,34.2,11.2
3 Culpable Homicide not amounting to Murder,3578,3782,3707,3620,3380,3332,3564,3176,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,-11.2,-10.9,-4.7
4 Attempt to Commit Culpable Homicide,NA,NA,NA,NA,0,4358,NA,6118,*,*,*,*,0,0.4,*,0.5,NA,NA,40.4
5 Rape ~,18359,22172,24206,24923,33707,36735,28349,34651,3.3,3.9,4.1,4.3,5.7,6.1,4.8,5.7,88.7,22.2,-5.7
6 Attempt to Commit Rape ~,NA,NA,NA,NA,NA,4234,NA,4437,*,*,*,*,*,0.7,*,0.4,NA,NA,4.8
7 Kidnapping & Abduction,22832,38440,44664,47592,65461,77237,54679,82999,2.1,3.2,3.7,3.9,5.3,6.2,4.5,6.6,263.5,51.8,7.5
8 Dacoity,5141,4358,4285,4314,4539,4395,4378,3972,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,-22.7,-9.3,-9.6
9 Making Preparation and Assembly for Committing Dacoity,2834,2615,2895,3099,3159,2834,2920,3163,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,11.6,8.3,11.6
10 Robbery,17673,23393,24700,27343,31927,38071,29087,36188,1.6,2,2,2.3,2.6,3.1,2.4,2.9,104.8,24.4,-4.9
11 Criminal Trespass/Burglary,90108,90179,92504,92892,104401,114646,98924,114123,8.2,7.6,7.6,7.7,8.5,9.2,8.1,9.1,26.7,15.4,-0.5
12 Theft,273111,330312,340800,337407,372622,440915,364411,467833,24.8,27.9,28.2,27.8,30.3,35.4,30,37.2,71.3,28.4,6.1
13 Unlawful Assembly,NA,NA,NA,NA,NA,9870,NA,10876,*,*,*,*,*,0.8,*,0.9,NA,NA,10.2
14 Riots,56235,67571,68500,74633,72126,66042,69774,65255,5.1,5.7,5.7,6.2,5.9,5.3,5.7,5.2,16,-6.5,-1.2
15 Criminal Breach of Trust,13572,16678,17457,17901,19627,19982,18329,19218,1.2,1.4,1.4,1.5,1.6,1.6,1.5,1.5,41.6,4.9,-3.8
16 Cheating,53625,78999,87656,94203,107330,109354,95508,115405,4.9,6.7,7.2,7.8,8.7,8.8,7.9,9.2,115.2,20.8,5.5
17 Forgery,NA,NA,NA,NA,NA,11245,NA,13846,*,*,*,*,*,0.9,*,1.1,NA,NA,23.1
18 Counterfeiting,2383,2589,2307,2351,2349,1979,2315,1701,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,-28.6,-26.5,-14
19 Arson,8451,8508,9064,11836,9357,9289,9611,9710,0.8,0.7,0.7,1,0.8,0.7,0.8,0.8,14.9,1,4.5
20 Grievous Hurt,270861,289022,302847,332324,334669,105201,272813,92996,24.6,24.4,25,27.4,27.2,8.5,22.4,7.4,-65.7,-65.9,-11.6
21 Dowry Deaths ~,6787,8391,8618,8233,8083,8455,8356,7634,1.3,1.5,1.5,1.4,1.4,1.4,1.4,1.3,12.5,-8.6,-9.7
22 Assault on Women with Intent to Outrage her Modesty ~,34175,40613,42968,45351,70739,82235,56381,82422,6.3,7.1,7.3,7.7,11.9,13.7,9.6,13.6,141.2,46.2,0.2
23 Insult to the Modesty of Women ~,9984,9961,8570,9173,12589,9735,10006,8685,1.8,0.8,0.7,0.8,1,0.8,1.7,1.4,-13,-13.2,-10.8
24 Cruelty by Husband or his Relatives ~,58319,94041,99135,106527,118866,122877,108289,113403,10.8,7.9,8.2,8.8,9.7,9.9,18.4,18.7,94.5,4.7,-7.7
25 Importation of Girls from Foreign Country ~,149,36,80,59,31,13,44,6,0,0,0,0,0,0,0,0,-96,-86.3,-53.8
26 Causing Death by Negligence,71698,106343,108890,107591,111517,128771,112622,134384,6.5,9,9,8.9,9.1,10.4,9.3,10.7,87.4,19.3,4.4
27 Offences against State,NA,NA,NA,NA,NA,176,NA,147,*,*,*,*,*,0,*,0,NA,NA,-16.5
28 Offences Promoting Enmity between Different Groups,NA,NA,NA,NA,NA,336,NA,424,*,*,*,*,*,0,*,0,NA,NA,26.2
29 Extortion,NA,NA,NA,NA,NA,8192,NA,10636,*,*,*,*,*,0.7,*,0.8,NA,NA,29.8
30 Disclosure of Identity of Victims,NA,NA,NA,NA,NA,4,NA,0,*,*,*,*,*,0,*,0,NA,NA,-100
31 Causing Injury under Rash Driving / Road Rage,NA,NA,NA,NA,NA,409899,NA,451069,*,*,*,*,*,32.9,*,35.8,NA,NA,10
32 Human Trafficking (Section 370 & 370A IPC),NA,NA,NA,NA,NA,720,NA,1021,*,*,*,*,*,0.1,*,0.1,NA,NA,41.8
33 Unnatural Offences,NA,NA,NA,NA,NA,1148,NA,1347,*,*,*,*,*,0.1,*,0.1,NA,NA,17.3
34 Other IPC crimes,741977,924072,966032,966244,1092625,943511,978497,973957,67.3,77.9,79.8,79.6,88.9,75.8,80.4,77.4,31.3,-0.5,3.2
Total Cognizable IPC crimes,1822602,2224831,2325575,2387188,2647722,2851563,2487376,2949400,165.3,187.6,192.2,196.7,215.5,229.2,204.5,234.2,61.8,18.6,3.4
