S. No.,Category,State/UT,Injuries Sustained during the Police Custody due to Physical Assault by Police,Injuries sustained prior to Police Custody,Mob Attack/Riots,Assault by Other Criminals,Suicide,While Escaping from Police Custody,Illness,Natural Deaths,Road Accident/ Journey Connected to Investigation,Hospitalization,Others,Total Deaths in Police Custody
1,State,Andhra Pradesh,0,1,0,0,1,0,5,1,0,0,0,8
2,State,Arunachal Pradesh,0,0,0,0,1,0,0,0,0,0,0,1
3,State,Assam,1,0,0,0,3,1,1,0,0,1,0,7
4,State,Bihar,0,1,0,0,0,0,0,0,0,0,1,2
5,State,Chhattisgarh,0,0,0,0,3,0,0,0,0,0,1,4
6,State,Goa,0,0,0,0,1,0,0,0,0,0,0,1
7,State,Gujarat,1,2,0,0,3,0,1,2,0,0,0,9
8,State,Haryana,0,1,0,0,0,1,0,0,0,0,1,3
9,State,Himachal Pradesh,0,0,0,0,0,0,0,1,0,0,0,1
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,1,0,0,0,0,1,0,2
12,State,Karnataka,1,0,0,0,1,0,0,0,0,0,0,2
13,State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0
14,State,Madhya Pradesh,0,0,0,1,4,0,0,0,0,1,1,7
15,State,Maharashtra,1,0,0,1,6,0,2,2,1,6,0,19
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,1,0,0,0,0,0,0,1
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,1,0,0,0,1,0,0,0,0,0,1,3
21,State,Punjab,1,0,0,0,1,0,0,0,0,0,1,3
22,State,Rajasthan,0,0,0,0,1,0,0,1,0,1,0,3
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,0,1,0,0,0,1,0,1,0,0,0,3
25,State,Telangana,0,0,0,0,0,1,1,0,0,2,0,4
26,State,Tripura,0,0,0,0,0,0,1,0,0,0,0,1
27,State,Uttar Pradesh,0,0,1,1,5,1,0,1,0,0,0,9
28,State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0
29,State,West Bengal,0,0,0,0,0,0,0,0,0,0,3,3
TOTAL (STATES),State,TOTAL STATE(S),6,6,1,3,33,5,11,9,1,12,9,96
30,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
31,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
34,UT,Delhi UT,0,0,0,0,1,0,0,0,0,0,0,1
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (Uts),UT,TOTAL UT(S),0,0,0,0,1,0,0,0,0,0,0,1
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),6,6,1,3,34,5,11,9,1,12,9,97
