S. No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Cases Reported under Crimes Committed against - Foreign Tourists (Col. 4),Cases Reported under Crimes Committed against - Other than Foreign Tourists (Col. 5),Cases Reported under Crimes Committed against - Total Foreigners (Col. 6) = (Col. 4+Col. 5)
1,State,Andhra Pradesh,1,0,1
2,State,Arunachal Pradesh,0,0,0
3,State,Assam,0,0,0
4,State,Bihar,0,0,0
5,State,Chhattisgarh,0,0,0
6,State,Goa,26,4,30
7,State,Gujarat,1,1,2
8,State,Haryana,1,14,15
9,State,Himachal Pradesh,1,0,1
10,State,Jammu & Kashmir,0,0,0
11,State,Jharkhand,0,0,0
12,State,Karnataka,12,10,22
13,State,Kerala,7,2,9
14,State,Madhya Pradesh,1,0,1
15,State,Maharashtra,36,17,53
16,State,Manipur,0,0,0
17,State,Meghalaya,0,0,0
18,State,Mizoram,2,0,2
19,State,Nagaland,0,0,0
20,State,Odisha,2,0,2
21,State,Punjab,13,0,13
22,State,Rajasthan,20,4,24
23,State,Sikkim,0,0,0
24,State,Tamil Nadu,2,5,7
25,State,Telangana,1,0,1
26,State,Tripura,0,0,0
27,State,Uttar Pradesh,32,1,33
28,State,Uttarakhand,0,0,0
29,State,West Bengal,0,2,2
TOTAL (STATES),State,TOTAL (STATES),158,60,218
30,UT,A & N Islands,0,0,0
31,UT,Chandigarh,0,0,0
32,UT,D&N Haveli,0,0,0
33,UT,Daman & Diu,0,0,0
34,UT,Delhi UT,113,34,147
35,UT,Lakshadweep,0,0,0
36,UT,Puducherry,0,0,0
TOTAL (UTS),UT,TOTAL (UTS),113,34,147
TOTAL ALL INDIA,TOTAL ALL INDIA,TOTAL ALL INDIA,271,94,365
