S.No.,Category,State/UT,Cases Reported under Total Cognizable Crimes,Percentage Contribution to All India Total,Mid-Year Projected Population (In Lakhs)+,Rate of Total Cognizable Crimes
1,State,Andhra Pradesh,110693,3.8,513.4,215.6
2,State,Arunachal Pradesh,2968,0.1,13,227.8
3,State,Assam,103616,3.5,322,321.8
4,State,Bihar,176973,6,1031.4,171.6
5,State,Chhattisgarh,56692,1.9,256.6,220.9
6,State,Goa,3074,0.1,19.7,156.4
7,State,Gujarat,126935,4.3,623.3,203.6
8,State,Haryana,84466,2.9,272.2,310.4
9,State,Himachal Pradesh,14007,0.5,70.6,198.5
10,State,Jammu & Kashmir,23583,0.8,123.4,191.2
11,State,Jharkhand,45050,1.5,333.5,135.1
12,State,Karnataka,138847,4.7,619.9,224
13,State,Kerala,257074,8.7,355.5,723.2
14,State,Madhya Pradesh,268614,9.1,771.3,348.3
15,State,Maharashtra,275414,9.3,1191.4,231.2
16,State,Manipur,3847,0.1,25.7,149.5
17,State,Meghalaya,4079,0.1,27.5,148.2
18,State,Mizoram,2228,0.1,10.6,211.2
19,State,Nagaland,1302,0.0,23.6,55.1
20,State,Odisha,83360,2.8,422.5,197.3
21,State,Punjab,37983,1.3,289.4,131.2
22,State,Rajasthan,198080,6.7,723.1,273.9
23,State,Sikkim,766,0.0,6.4,119.3
24,State,Tamil Nadu,187558,6.4,691.6,271.2
25,State,Telangana,106282,3.6,365.6,290.7
26,State,Tripura,4692,0.2,38,123.5
27,State,Uttar Pradesh,241920,8.2,2158.4,112.1
28,State,Uttarakhand,10248,0.3,105.4,97.2
29,State,West Bengal,179501,6.1,930,193
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),2749852,93.2,12334.8,222.9
30,UT,A & N Islands,862,0.0,5.5,157.9
31,UT,Chandigarh,3248,0.1,17.4,186.5
32,UT,D&N Haveli,269,0.0,4.2,64.4
33,UT,Daman & Diu,302,0.0,3.2,94.1
34,UT,Delhi UT,191377,6.5,208.8,916.8
35,UT,Lakshadweep,50,0.0,0.8,62.5
36,UT,Puducherry,3440,0.1,16.5,209.1
TOTAL( UTS),TOTAL( UTS),TOTAL( UTS),199548,6.8,256.3,778.7
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),2949400,100,12591.1,234.2
