S. No. ,Category,State/UT ,Persons In Cust./ Bail During Investigation At Beginning of The Year ,Persons Arrested During the Year ,Persons Released by Police/ Magistrate Before Trial ,Persons in Custody/ Bail During Investigation at the end of Year ,Persons Charge Sheeted ,Persons Under Trial at the Beginning of Year ,Total Persons Under Trial ,No. of Persons Whose Cases Withdrawn Or Other-wise Disposed off ,No. of Persons whose Cases were closed During the Year ,Persons In Custody/ Bail During Trial At The End of Year ,Persons In Whose Cases Trial Completed ,Persons Convicted ,Persons Acquitted ,Percentage of Persons Convicted to Trial Completed ,Persons Reported for Regular Deptt. Action ,Persons Reported for Suitable Action ,Persons Punished Departmentally  - Dismissed from Service ,Persons Punished Departmentally - Removed from Service ,Persons Punished Departmentally - Awarded Other Major Punish-ment ,Persons Punished Departmentally - Awarded Minor Punish-ment ,Gazetted Or Equal Status officers In Public Under Taking Involved - Group 'A' officers ,Gazetted Or Equal Status officers In Public Under Taking Involved - Group 'B' officers ,Non Gazetted or Equal Status officers in Public Undertaking Involved ,Private Persons Involved 
1,State,Andhra Pradesh ,410  ,177  ,0  ,426  ,161  ,953  ,1114  ,3  ,0  ,1047  ,110  ,64  ,46  ,58.2  ,18  ,0  ,1  ,0  ,4  ,7  ,80  ,0  ,136  ,20  
2,State,Arunachal Pradesh ,18  ,41  ,0  ,19  ,40  ,20  ,60  ,0  ,5  ,55  ,0  ,0  ,0  ,NA  ,0  ,0  ,0  ,0  ,0  ,0  ,6  ,9  ,8  ,31  
3,State,Assam ,3  ,10  ,0  ,12  ,1  ,120  ,121  ,0  ,0  ,121  ,0  ,0  ,0  ,NA  ,0  ,0  ,0  ,0  ,0  ,0  ,15  ,18  ,18  ,0  
4,State,Bihar ,215  ,61  ,0  ,115  ,161  ,2048  ,2209  ,0  ,0  ,2206  ,3  ,2  ,1  ,66.7  ,59  ,59  ,0  ,0  ,0  ,0  ,1  ,17  ,43  ,1  
5,State,Chhattisgarh ,119  ,36  ,18  ,85  ,89  ,417  ,506  ,0  ,0  ,486  ,20  ,6  ,14  ,30.0  ,51  ,51  ,0  ,0  ,0  ,0  ,1  ,12  ,37  ,5  
6,State,Goa ,9  ,10  ,0  ,15  ,4  ,5  ,9  ,0  ,0  ,9  ,0  ,0  ,0  ,NA  ,4  ,0  ,0  ,7  ,0  ,0  ,1  ,2  ,4  ,0  
7,State,Gujarat ,398  ,457  ,52  ,591  ,212  ,1758  ,1970  ,5  ,13  ,1811  ,141  ,28  ,113  ,19.9  ,3  ,0  ,14  ,61  ,1  ,0  ,12  ,39  ,293  ,82  
8,State,Haryana ,477  ,194  ,22  ,459  ,190  ,1259  ,1449  ,57  ,206  ,846  ,340  ,136  ,204  ,40.0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,32  ,0  ,0  
9,State,Himachal Pradesh ,268  ,80  ,17  ,228  ,103  ,668  ,771  ,4  ,6  ,717  ,44  ,13  ,31  ,29.5  ,7  ,0  ,0  ,0  ,0  ,0  ,9  ,11  ,142  ,25  
10,State,Jammu & Kashmir ,0  ,37  ,0  ,0  ,37  ,2302  ,2339  ,0  ,0  ,2311  ,28  ,11  ,17  ,39.3  ,30  ,0  ,0  ,0  ,0  ,0  ,159  ,0  ,129  ,36  
11,State,Jharkhand ,142  ,75  ,0  ,75  ,142  ,201  ,343  ,0  ,8  ,317  ,18  ,4  ,14  ,22.2  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,23  ,70  ,2  
12,State,Karnataka ,685  ,362  ,76  ,665  ,306  ,1842  ,2148  ,10  ,101  ,1726  ,311  ,70  ,241  ,22.5  ,66  ,57  ,12  ,1  ,2  ,27  ,54  ,50  ,186  ,56  
13,State,Kerala ,0  ,35  ,23  ,0  ,165  ,1647  ,1812  ,236  ,57  ,274  ,52  ,26  ,26  ,50.0  ,62  ,6  ,20  ,0  ,0  ,1  ,23  ,40  ,396  ,206  
14,State,Madhya Pradesh ,797  ,634  ,0  ,992  ,439  ,609  ,1048  ,0  ,4  ,853  ,191  ,145  ,46  ,75.9  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
