Crime Head,Persons in Custody during the Stage of Trial at the Beginning of the year - Male,Persons in Custody during the Stage of Trial at the Beginning of the year - Female,Persons on Bail during the Stage of Trial at the Beginning of the year - Male,Persons on Bail during the Stage of Trial at the Beginning of the year - Female,Total Number of Persons under Trial During the Year - Male,Total Number of Persons under Trial During the Year - Female,Persons Against whom Cases were Compounded by Courts - Male,Persons Against whom Cases were Compounded by Courts - Female,Persons Against whom Cases were Withdrawn - Male,Persons Against whom Cases were Withdrawn - Female,Persons in whose Cases Trials were Completed During the Year - Male,Persons in whose Cases Trials were Completed During the Year - Female,Persons Convicted - Male,Persons Convicted - Female,Persons Acquitted - Male,Persons Acquitted - Female,Persons Discharged by Court - Male,Persons Discharged by Court - Female,Persons in Custody during the stage of Trial at the end of the year - Male,Persons in Custody during the stage of Trial at the end of the year - Female,Persons on Bail During the stage of Trial at the end of the year - Male,Persons on Bail During the stage of Trial at the end of the year - Female
1 Murder,138540,2566,255726,9774,448627,16019,956,11,171,20,39373,1977,15541,540,23132,1404,700,33,137787,2813,270340,11198
2 Attempt to commit Murder,112552,1459,313235,9664,507054,14410,648,43,327,19,47146,1895,12293,316,33929,1560,924,19,117889,1351,341044,11102
3 Culpable Homicide not amounting to Murder,8625,131,24532,445,38489,739,38,0,40,4,3874,76,1448,18,2366,58,60,0,8676,86,25861,573
4 Attempt to commit Culpable Homicide,1754,24,14402,201,24166,491,7,0,31,1,2730,69,676,15,1988,52,66,2,2464,77,18934,344
5 Rape,49153,304,92364,1270,180046,2539,246,2,144,1,24059,427,7137,48,16471,378,451,1,47861,429,107736,1680
5.1 Custodial Rape,187,0,28,0,351,0,0,0,0,0,33,0,14,0,15,0,4,0,206,0,112,0
5.1.1 Gang Rape,12,0,0,0,16,0,0,0,0,0,2,0,2,0,0,0,0,0,13,0,1,0
5.1.2 Other Rape,175,0,28,0,335,0,0,0,0,0,31,0,12,0,15,0,4,0,193,0,111,0
5.2 Rape other than Custodial,48966,304,92336,1270,179695,2539,246,2,144,1,24026,427,7123,48,16456,378,447,1,47655,429,107624,1680
5.2.1 Gang Rape,2690,27,3285,30,9943,110,5,0,10,0,1332,19,597,6,721,13,14,0,3615,27,4981,64
5.2.2 Other Rape,46276,277,89051,1240,169752,2429,241,2,134,1,22694,408,6526,42,15735,365,433,1,44040,402,102643,1616
6 Attempt to commit Rape,1796,7,3102,23,8784,36,13,0,10,0,1295,5,247,0,1033,5,15,0,1939,5,5527,26
7 Kidnapping & Abduction,65668,1177,161753,4867,279943,8136,605,20,508,44,30024,946,7092,193,22237,728,695,25,66636,822,182170,6304
7.1 Kidnapping & Abduction,13009,142,34390,1175,60831,1847,88,1,105,17,6829,246,1610,65,5084,181,135,0,15195,281,38614,1302
7.2 Kidnaping & Abduction in order to Murder,12491,18,8994,37,22777,79,17,0,9,0,1745,16,453,4,1153,12,139,0,11973,6,9033,57
7.3 Kidnapping for Ransom,1285,7,2506,41,5319,72,13,0,4,0,454,8,156,0,293,5,5,3,1491,11,3357,53
7.4 Kidnapping & Abduction of Women to compel her for marriage,27431,730,71823,2120,123300,3903,329,8,341,26,13435,412,3196,88,10076,313,163,11,26919,291,82276,3166
7.5 Other Kidnapping,11452,280,44040,1494,67716,2235,158,11,49,1,7561,264,1677,36,5631,217,253,11,11058,233,48890,1726
8 Dacoity,46995,33,109325,705,172160,917,117,7,133,0,11468,44,2059,3,9313,39,96,2,43439,61,117003,805
8.1 Dacoity with Murder,640,0,825,2,1778,7,0,0,0,0,74,0,31,0,43,0,0,0,649,0,1055,7
8.2 Other Dacoity,46355,33,108500,703,170382,910,117,7,133,0,11394,44,2028,3,9270,39,96,2,42790,61,115948,798
9 Making Preparation and Assembly for committing Dacoity,16644,3,56775,14,87602,30,24,0,35,0,6220,4,967,0,5203,4,50,0,17825,5,63498,21
10 Robbery,71437,137,166743,1056,280700,1594,193,2,379,0,23437,148,7283,34,15681,113,473,1,81576,198,175115,1246
