S.No.,Category,State/UT,Gain,Property Dispute,Personal Vendetta or Enmity,Dowry,Lunacy,Witch- Craft,Child/ Human Sacrifice,Commu- nalism,Casteism,Class Conflict,Political Reasons,Honour Killing,Rape,Gang Rape,Love Affairs,Illicit Relationship,Kidnapping & Abduction,Other Causes,Total,Gain,Property Dispute,Personal Vendetta or Enmity,Dowry,Lunacy,Witch- Craft,Child/ Human Sacrifice,Commu- nalism,Casteism,Class Conflict,Political Reasons,Honour Killing,Rape,Gang Rape,Love Affairs,Illicit Relationship,Kidnapping & Abduction,Other Causes,Total
1,State,Andhra Pradesh,60,97,105,51,0,1,4,0,0,0,4,2,5,0,14,198,2,556,1099,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,0,82,92
2,State,Arunachal Pradesh,0,0,10,0,0,0,0,0,0,0,0,0,1,1,0,1,0,44,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
3,State,Assam,168,446,479,17,0,0,0,0,0,0,0,0,3,0,31,12,6,181,1343,6,39,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
4,State,Bihar,406,971,409,79,2,2,0,0,0,1,0,0,3,0,140,125,16,1024,3178,7,9,0,2,5,0,0,0,0,1,0,0,0,0,1,0,0,96,121
5,State,Chhattisgarh,13,96,63,20,0,10,1,0,0,0,1,2,5,3,32,60,6,617,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32
6,State,Goa,3,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
7,State,Gujarat,80,127,252,5,6,13,0,2,1,12,5,21,5,0,122,52,5,442,1150,4,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,40,49
8,State,Haryana,70,73,254,16,0,0,0,0,0,0,0,2,5,1,14,32,16,519,1002,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,51,61
9,State,Himachal Pradesh,4,17,8,1,0,0,0,0,0,0,0,0,0,0,6,4,2,64,106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
10,State,Jammu & Kashmir,2,9,11,0,0,0,0,0,0,0,0,1,0,0,3,3,0,104,133,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,30
11,State,Jharkhand,664,256,246,14,2,32,8,2,24,18,15,0,6,0,56,52,2,139,1536,20,5,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,4,34
12,State,Karnataka,54,75,178,54,0,3,1,4,1,1,8,0,19,3,40,63,6,1047,1557,1,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,73,82
13,State,Kerala,19,15,87,0,2,0,0,0,0,0,12,3,0,0,2,5,2,187,334,0,1,7,0,0,0,0,0,0,1,1,2,0,0,0,1,0,74,87
14,State,Madhya Pradesh,131,254,351,26,2,20,1,3,5,5,10,14,10,0,109,113,10,1275,2339,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,127,132
15,State,Maharashtra,62,143,200,78,3,5,1,3,2,2,2,1,13,1,63,214,7,1709,2509,2,1,2,0,0,0,0,0,0,2,0,0,0,0,1,2,0,141,151
16,State,Manipur,0,3,14,0,0,0,0,0,0,0,0,0,3,0,0,0,5,56,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
