CRIME HEAD,Persons in Custody during the Stage of Trial at the Beginning of the year - Male,Persons in Custody during the Stage of Trial at the Beginning of the year - Female,Persons on Bail during the Stage of Trial at the Beginning of the year - Male,Persons on Bail during the Stage of Trial at the Beginning of the year - Female,Total Number of Persons under Trial During the Year * - Male,Total Number of Persons under Trial During the Year * - Female,Persons Against whom Cases were Compounded by Courts - Male,Persons Against whom Cases were Compounded by Courts - Female,Persons Against whom Cases were Withdrawn - Male,Persons Against whom Cases were Withdrawn - Female,Persons in whose Cases Trials were Completed During the Year - Male,Persons in whose Cases Trials were Completed During the Year - Female,Persons Convicted - Male,Persons Convicted - Female,Persons Acquitted - Male,Persons Acquitted - Female,Persons Discharged by Court - Male,Persons Discharged by Court - Female,Persons in Custody during the stage of Trial at the end of the year - Male,Persons in Custody during the stage of Trial at the end of the year - Female,Persons on Bail During the stage of Trial at the end of the year - Male,Persons on Bail During the stage of Trial at the end of the year - Female
"1 Protection of Civil Rights Act, 1955",4,0,35,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,36,0
2.1 Murder,529,2,883,10,1691,13,0,0,1,0,136,1,42,0,94,1,0,0,458,3,1096,9
2.2 Attempt to Commit Murder,65,1,274,2,577,5,0,0,0,0,30,0,9,0,21,0,0,0,103,1,444,4
2.3 Rape,1408,4,2014,13,4672,32,0,0,0,0,785,4,155,0,610,4,20,0,1608,5,2279,23
2.4 Attempt to Commit Rape,7,0,21,0,44,0,0,0,0,0,3,0,1,0,2,0,0,0,2,0,39,0
2.5 Assault on Women with Intent to Outrage her Modesty,260,0,993,7,2163,13,4,0,0,0,420,0,97,0,323,0,0,0,303,0,1436,13
2.5.1 Sexual Harassment,47,0,288,2,682,2,1,0,0,0,138,0,24,0,114,0,0,0,123,0,420,2
2.5.2 Assault on Women with Intent to Disrobe,10,0,30,0,88,1,0,0,0,0,12,0,3,0,9,0,0,0,16,0,60,1
2.5.3 Voyeurism,0,0,2,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0
2.5.4 Stalking,15,0,19,0,51,0,0,0,0,0,20,0,4,0,16,0,0,0,2,0,29,0
2.5.5 Other Sexual Harassment,188,0,654,5,1336,10,3,0,0,0,249,0,66,0,183,0,0,0,162,0,922,10
2.6 Insult to the Modesty of women,0,0,32,0,50,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,46,0
2.7 Kidnapping & Abduction,325,8,402,2,896,13,0,0,0,0,106,4,15,0,91,4,0,0,286,4,504,5
2.7.1 Kidnaping & Abduction,66,1,55,0,156,2,0,0,0,0,17,0,5,0,12,0,0,0,54,2,85,0
