S. No.,Category,State/UT,Number of Occasions of Lathi-Charges by the Police,Cases Registered,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,State,Andhra Pradesh,0,0,0,0,0,0
2,State,Arunachal Pradesh,0,0,0,0,0,0
3,State,Assam,4,4,5,0,0,0
4,State,Bihar,2,2,0,0,0,7
5,State,Chhattisgarh,0,0,0,0,0,0
6,State,Goa,0,0,0,0,0,0
7,State,Gujarat,2,2,0,0,0,6
8,State,Haryana,4,4,0,4,0,5
9,State,Himachal Pradesh,0,0,0,0,0,0
10,State,Jammu & Kashmir,207,207,1,24,0,411
11,State,Jharkhand,3,3,0,10,0,12
12,State,Karnataka,2,2,0,2,0,2
13,State,Kerala,1,1,0,0,0,7
14,State,Madhya Pradesh,12,7,0,0,0,18
15,State,Maharashtra,8,8,0,21,0,52
16,State,Manipur,1,1,0,0,0,1
17,State,Meghalaya,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0
19,State,Nagaland,4,4,0,18,0,21
20,State,Odisha,0,0,0,0,0,0
21,State,Punjab,1,1,0,0,0,11
22,State,Rajasthan,0,0,0,0,0,0
23,State,Sikkim,0,0,0,0,0,0
24,State,Tamil Nadu,1,1,0,10,0,13
25,State,Telangana,0,0,0,0,0,0
26,State,Tripura,0,0,0,0,0,0
27,State,Uttar Pradesh,62,62,1,197,0,90
28,State,Uttarakhand,0,0,0,0,0,0
29,State,West Bengal,10,10,0,4,0,34
TOTAL (STATES),State,TOTAL (STATES),324,319,7,290,0,690
30,UT,A & N Islands,0,0,0,0,0,0
31,UT,Chandigarh,2,2,0,6,0,5
32,UT,D&N Haveli,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0
34,UT,Delhi UT,1,1,0,2,0,1
35,UT,Lakshadweep,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0
TOTAL (UTS),UT,TOTAL (UTS),3,3,0,8,0,6
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),327,322,7,298,0,696
