Crime Head (Col.1),Cases Pending Investigation from Previous Year (Col.2),Cases Reported During the Year (Col.3),No. of Cases Withdrawn by the Govt. During Investigation (Col.4),Cases Transferred to other Police Station/ Magistrate (Col.5),Cases Not Investigated U/S 157(1)(b) of Cr.PC (Col.6),Total Cases for Investigation (Col.7) = (Col. 2+3-4-5-6),Cases Ended as Final Report False (Col.8),Cases Ended as Mistake of Fact or of Law (Col.9),Cases in Ended as Final Report as Non Cognizable Submitted During the Year (Col.10),Cases in Which Charge-sheets were Submitted (Col.11),Cases in Which Charge-sheets were not laid but Final Report as True submitted (Col.12),Total Cases Disposed of by Police (Col.13) = (Col. 8+9+10+11+12),Cases Pending Investigation at the End of the Year (Col.14) = (col. 7 - col. 13),Charge-Sheeting Rate(Col.15) = {Col.11 / (Col.11+Col.12)} x 100,Cases Pendency Percentage (Col.16) = ({Col.14/(Col.2+ Col.3)} x 100
1 Murder,810,1758,0,8,0,2560,27,19,19,1423,161,1649,911,89.8,35.5
2 Infanticide,44,91,0,2,0,133,9,8,4,38,32,91,42,54.3,31.1
3 Rape,4187,10854,0,14,0,15027,287,67,2,9755,119,10230,4797,98.8,31.9
4 Assault on Women with Intent to Outrage her Modesty,2317,8390,1,0,0,10706,256,30,9,7093,149,7537,3169,97.9,29.6
4.1 Sexual Harassment,850,3350,1,0,0,4199,67,7,4,2943,71,3092,1107,97.6,26.4
4.2 Assault on Women with Intent to Disrobe,117,540,0,0,0,657,21,7,0,436,11,475,182,97.5,27.7
4.3 Voyeurism,28,51,0,0,0,79,3,0,0,47,3,53,26,94,32.9
4.4 Stalking,240,1020,0,0,0,1260,23,1,0,773,7,804,456,99.1,36.2
4.5 Others assault,1082,3429,0,0,0,4511,142,15,5,2894,57,3113,1398,98.1,31
5 Insult to the Modesty of Women (Girls Children),132,348,0,0,0,480,9,3,0,285,8,305,175,97.3,36.5
6 Kidnapping & Abduction,20084,41893,23,58,19,61877,7312,7359,408,15054,7093,37226,24651,68,39.8
6.1 Kidnapping & Abduction,11423,23462,14,30,18,34823,4636,5107,133,5536,4402,19814,15009,55.7,43
6.2 Kidnaping & Abduction in Order to Murder,118,192,0,0,0,310,11,24,0,135,41,211,99,76.7,31.9
6.3 Kidnapping for Ransom,70,142,0,0,0,212,12,6,0,93,8,119,93,92.1,43.9
6.4 Kidnapping & Abduction of Women to Compel her for Marriage,5079,12516,7,4,1,17583,1284,1278,77,6896,1855,11390,6193,78.8,35.2
6.5 Other Kidnapping,3394,5581,2,24,0,8949,1369,944,198,2394,787,5692,3257,75.3,36.3
7 Foeticide,44,97,0,0,0,141,9,13,3,30,39,94,47,43.5,33.3
8 Abetment of Suicide of child,35,51,0,0,0,86,2,0,0,52,2,56,30,96.3,34.9
9 Exposure and Abandonment,401,885,0,1,0,1285,41,74,29,99,597,840,445,14.2,34.6
10 Procuration of Minor girls,1244,3087,0,1,0,4330,150,92,9,1348,421,2020,2310,76.2,53.3
11 Importation of Girls from Foreign Country,0,2,0,0,0,2,0,0,0,1,0,1,1,100,50
12 Buying of Minors for Prostitution,40,11,0,0,0,51,0,0,0,10,0,10,41,100,80.4
13 Selling of Minors for Prostitution,181,111,0,0,0,292,0,0,0,119,3,122,170,97.5,58.2
"14 Prohibition of Child Marriage Act, 2006",158,293,0,5,0,446,11,11,0,240,28,290,156,89.6,34.6
"15 Transplantation of Human Organs Act, 1994",1,0,0,0,0,1,0,0,0,0,0,0,1,NA,100
"16 Child Labour (Prohibition & Regulation) Act, 1986",102,251,0,0,0,353,1,1,0,152,1,155,198,99.3,56.1
16.1 Offences committed against Migrant,29,53,0,0,0,82,0,0,0,38,0,38,44,100,53.7
16.1.1 Offences Committed against SC Migrants,5,4,0,0,0,9,0,0,0,4,0,4,5,100,55.6
16.1.2 Offences Committed against ST Migrants,0,1,0,0,0,1,0,0,0,1,0,1,0,100,0
16.1.3 Offences Committed against Others Migrants,24,48,0,0,0,72,0,0,0,33,0,33,39,100,54.2
16.2 Offences Committed against Locals,73,198,0,0,0,271,1,1,0,114,1,117,154,99.1,56.8
16.2.1 Offences Committed against Local SCs,0,9,0,0,0,9,1,0,0,6,0,7,2,100,22.2
