S. No.,Category,State/UT,Number of - Death or Disappearance Reported,Number of - Autopsy Conducted,Number of - Judicial Enquiry Ordered,Number of - Judicial Enquiry Conducted,Number of - Cases Registered against Police Personnel in Connection With Deaths,Number of - Policemen Charge- Sheeted,Number of - Policemen Convicted
1,State,Andhra Pradesh,3,1,1,2,0,0,0
2,State,Arunachal Pradesh,1,0,0,0,0,0,0
3,State,Assam,6,2,0,1,4,2,0
4,State,Bihar,1,0,0,0,0,0,0
5,State,Chhattisgarh,0,0,0,0,0,0,0
6,State,Goa,1,1,0,0,0,0,0
7,State,Gujarat,2,2,2,2,0,0,0
8,State,Haryana,1,0,1,1,0,0,0
9,State,Himachal Pradesh,1,0,1,1,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0
12,State,Karnataka,0,0,0,0,0,0,0
13,State,Kerala,0,0,0,0,0,0,0
14,State,Madhya Pradesh,3,3,3,1,0,0,0
15,State,Maharashtra,5,5,0,0,0,0,0
16,State,Manipur,0,0,0,0,0,0,0
17,State,Meghalaya,1,1,1,1,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0
20,State,Odisha,0,0,0,0,0,0,0
21,State,Punjab,0,0,0,0,0,0,0
22,State,Rajasthan,2,1,2,2,1,0,0
23,State,Sikkim,0,0,0,0,0,0,0
24,State,Tamil Nadu,0,0,0,0,0,0,0
25,State,Telangana,0,0,0,0,0,0,0
26,State,Tripura,0,0,0,0,0,0,0
27,State,Uttar Pradesh,1,1,0,0,1,2,0
28,State,Uttarakhand,0,0,0,0,0,0,0
29,State,West Bengal,2,1,1,1,3,0,0
TOTAL (STATES),State,TOTAL (STATES),30,18,12,12,9,4,0
30,UT,A & N Islands,0,0,0,0,0,0,0
31,UT,Chandigarh,0,0,0,0,0,0,0
32,UT,D&N Haveli,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0,0
34,UT,Delhi UT,0,0,0,0,0,0,0
35,UT,Lakshadweep,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0
TOTAL (UTS),UT,TOTAL (UTS),0,0,0,0,0,0,0
TOTAL ALL INDIA,TOTAL ALL INDIA,TOTAL ALL INDIA,30,18,12,12,9,4,0
