S. No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Cases Pending Trial from the Previous Year (Col. 4),Cases Sent for Trial During the Year (Col. 5),No. of Cases Withdrawn by the Govt. (Col. 6),No. of Cases Disposed by Plea Bargaining (Col. 7),Total no. of Cases for Trial During the Year (Col. 8) = (Col. 4+5-6-7),Cases Compounded or Withdrawn (Col. 9),Cases in Which Trials were Completed (Col. 10) = (Col. 11+12),Cases Convicted (Col. 11),Cases Acquitted or Discharged (Col. 12),Cases Pending Trial at the End of the Year (Col. 13) = (Col.8 - (Col.9+10)),Conviction Rate (Col. 14) = (Col.11/Col.10) x 100,Cases Pendency Percentage (Col. 15) = (Col.13/(Col.4+Col.5)) x 100
1,State,Andhra Pradesh,11708,11854,0,0,23562,925,11086,6885,4201,11551,62.1,49
2,State,Arunachal Pradesh,975,155,0,1,1129,4,41,17,24,1084,41.5,95.9
3,State,Assam,9128,1972,0,0,11100,0,968,188,780,10132,19.4,91.3
4,State,Bihar,76941,15070,0,0,92011,544,4350,1110,3240,87117,25.5,94.7
5,State,Chhattisgarh,30508,244873,0,0,275381,28,222967,217708,5259,52386,97.6,19
6,State,Goa,4617,1438,0,0,6055,0,614,62,552,5441,10.1,89.9
7,State,Gujarat,1331881,301688,18,0,1633551,56,191121,100085,91036,1442374,52.4,88.3
8,State,Haryana,47002,28056,0,0,75058,0,26166,20108,6058,48892,76.8,65.1
9,State,Himachal Pradesh,19873,2982,0,0,22855,97,2617,1334,1283,20141,51,88.1
10,State,Jammu & Kashmir,13911,1516,0,0,15427,9,1435,525,910,13983,36.6,90.6
11,State,Jharkhand,11307,4706,1,0,16012,71,2560,713,1847,13381,27.9,83.6
12,State,Karnataka,45131,25120,4,0,70247,135,16958,10713,6245,53154,63.2,75.7
13,State,Kerala,678888,391967,0,3,1070852,3828,330130,321639,8491,736894,97.4,68.8
14,State,Madhya Pradesh,78257,89665,9,0,167913,15,96054,88432,7622,71844,92.1,42.8
15,State,Maharashtra,1167884,134038,460,43,1301419,12911,82927,30634,52293,1205581,36.9,92.6
16,State,Manipur,2079,242,3,0,2318,21,49,40,9,2248,81.6,96.9
17,State,Meghalaya,1182,173,0,0,1355,52,113,66,47,1190,58.4,87.8
18,State,Mizoram,441,354,0,0,795,3,330,280,50,462,84.8,58.1
19,State,Nagaland,493,580,0,1,1072,1,496,411,85,575,82.9,53.6
20,State,Odisha,93528,20337,0,0,113865,105,12752,725,12027,101008,5.7,88.7
21,State,Punjab,41620,20257,0,0,61877,50,19378,14578,4800,42449,75.2,68.6
22,State,Rajasthan,121443,60680,22,54,182047,221,54848,50434,4414,126978,92,69.7
23,State,Sikkim,59,159,0,0,218,0,94,55,39,124,58.5,56.9
24,State,Tamil Nadu,77971,253362,0,0,331333,436,235782,217556,18226,95115,92.3,28.7
25,State,Telangana,15896,10976,110,0,26762,355,5542,1955,3587,20865,35.3,77.6
26,State,Tripura,432,157,0,0,589,4,114,36,78,471,31.6,80
27,State,Uttar Pradesh,1777784,2508223,1,0,4286006,64,2124908,2099417,25491,2161034,98.8,50.4
28,State,Uttarakhand,29569,87533,0,0,117102,4,97299,90886,6413,19799,93.4,16.9
29,State,West Bengal,84249,22917,0,48,107118,193,5366,1943,3423,101559,36.2,94.8
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),5774757,4241050,628,150,10015029,20132,3547065,3278535,268530,6447832,92.4,64.4
30,UT,A & N Islands,18807,2479,0,0,21286,0,953,939,14,20333,98.5,95.5
31,UT,Chandigarh,1065,1857,0,0,2922,0,2074,1908,166,848,92,29
32,UT,D&N Haveli,138,25,0,0,163,0,5,1,4,158,20,96.9
33,UT,Daman & Diu,16,21,0,0,37,0,11,0,11,26,0,70.3
34,UT,Delhi UT,27915,6587,0,8,34494,58,5099,2981,2118,29337,58.5,85
35,UT,Lakshadweep,27,21,0,0,48,0,17,17,0,31,100,64.6
36,UT,Puducherry,210,630,0,0,840,0,406,390,16,434,96.1,51.7
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),48178,11620,0,8,59790,58,8565,6236,2329,51167,72.8,85.6
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),5822935,4252670,628,158,10074819,20190,3555630,3284771,270859,6498999,92.4,64.5
