S.No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Cases Pending Investigation from Previous Year (Col. 4),Cases Reported During the Year (Col. 5),No. of Cases Withdrawn by the Govt. During Investigation (Col. 6),Cases Transferred to other Police Station/ Magistrate (Col. 7),Cases Not Investigated U/S 157(1)(b) of Cr.PC (Col. 8),Total Cases for Investigation (Col. 9) = (Col. 4+5-6-7-8),Cases Ended as Final Report False (Col. 10),Cases Ended as Mistake of Fact or of Law (Col. 11),Cases in Ended as Final Report as Non Cognizable Submitted During the Year (Col. 12),Cases in Which Charge-sheets were Submitted (Col. 13),Cases in Which Charge-sheets were not laid but Final Report as True submitted (Col. 14),Total Cases Disposed of by Police (Col. 15) = (Col. 10+11+12 +13+14),Cases Pending Investigation at the End of the Year (Col. 16),Charge-Sheeting Rate (Col. 17) = {Col.13/(Col.13+Col.14} x 100,Cases Pendency Percentage (Col. 18) = {Col.16/(Col.4+Col.5)} x 100
1,State,Andhra Pradesh,54488,110693,19,944,0,164218,7195,1949,93,91857,8145,109239,54979,91.9,33.3
2,State,Arunachal Pradesh,3269,2968,0,8,0,6229,436,316,56,1973,1572,4353,1876,55.7,30.1
3,State,Assam,113086,103616,0,345,0,216357,55,474,0,48612,54748,103889,112468,47,51.9
4,State,Bihar,69946,176973,2,10,2,246905,6315,7951,5374,109158,25842,154640,92265,80.9,37.4
5,State,Chhattisgarh,6451,56692,0,2,0,63141,1651,1014,2,44477,7830,54974,8167,85,12.9
6,State,Goa,4205,3074,0,10,0,7269,6,231,4,2619,1606,4466,2803,62,38.5
7,State,Gujarat,15932,126935,204,51,35,142577,146,699,45,105833,16728,123451,19126,86.4,13.4
8,State,Haryana,14736,84466,46,2,0,99154,10539,0,1685,44175,25510,81909,17245,63.4,17.4
9,State,Himachal Pradesh,2787,14007,0,0,0,16794,920,195,0,11275,1536,13926,2868,88,17.1
10,State,Jammu & Kashmir,11368,23583,0,0,0,34951,2751,5,0,18973,3317,25046,9905,85.1,28.3
11,State,Jharkhand,27085,45050,0,0,0,72135,967,2907,565,27175,12461,44075,28060,68.6,38.9
12,State,Karnataka,59740,138847,0,1848,53,196686,5737,1291,61,97631,20155,124875,71811,82.9,36.2
13,State,Kerala,35433,257074,0,314,6,292187,3351,931,172,244145,5513,254112,38075,97.8,13
14,State,Madhya Pradesh,21059,268614,9,189,110,289365,6072,16808,3278,223867,15961,265986,23379,93.3,8.1
15,State,Maharashtra,145466,275414,68,144,10,420658,3120,5477,2190,174492,66539,251818,168840,72.4,40.1
16,State,Manipur,16430,3847,0,0,0,20277,370,0,0,460,2946,3776,16501,13.5,81.4
17,State,Meghalaya,8170,4079,0,2,0,12247,26,28,0,1892,1402,3348,8899,57.4,72.7
18,State,Mizoram,631,2228,0,2,0,2857,0,31,0,2056,203,2290,567,91,19.8
19,State,Nagaland,539,1302,16,1,5,1819,0,0,0,762,420,1182,637,64.5,34.6
20,State,Odisha,32937,83360,0,35,0,116262,2027,2479,88,69197,9103,82894,33368,88.4,28.7
21,State,Punjab,26728,37983,0,0,0,64711,4521,3137,0,23457,4680,35795,28916,83.4,44.7
22,State,Rajasthan,16195,198080,0,121,13,214141,43543,20852,2913,99640,31238,198186,15955,76.1,7.4
23,State,Sikkim,186,766,0,2,0,950,0,0,0,397,185,582,368,68.2,38.7
24,State,Tamil Nadu,93396,187558,0,271,0,280683,43,14008,0,159284,24122,197457,83226,86.8,29.6
25,State,Telangana,44866,106282,3,755,2,150388,5779,2053,119,87171,16033,111155,39233,84.5,26
26,State,Tripura,1152,4692,0,1,0,5843,127,398,98,3289,450,4362,1481,88,25.3
27,State,Uttar Pradesh,42744,241920,0,16,0,284648,4440,4190,2,147631,79368,235631,49017,65,17.2
28,State,Uttarakhand,1757,10248,10,5,0,11990,338,9,27,5411,2698,8483,3507,66.7,29.2
29,State,West Bengal,83367,179501,0,475,0,262393,0,0,986,160214,29047,190247,72146,84.7,27.4
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),954149,2749852,377,5553,236,3697835,110475,87433,17758,2007123,469358,2692147,1005688,81,27.2
30,UT,A & N Islands,339,862,0,0,0,1201,5,41,6,566,97,715,486,85.4,40.5
31,UT,Chandigarh,2066,3248,0,0,0,5314,0,307,1,1997,1184,3489,1825,62.8,34.3
32,UT,D&N Haveli,232,269,0,0,0,501,19,0,4,174,40,237,264,81.3,52.7
33,UT,Daman & Diu,219,302,0,1,0,520,0,0,0,165,71,236,284,69.9,54.5
34,UT,Delhi UT,109248,191377,49,43,36,300497,2886,1705,76,44079,120818,169564,130933,26.7,43.6
35,UT,Lakshadweep,91,50,0,0,0,141,0,39,0,36,0,75,66,100,46.8
36,UT,Puducherry,758,3440,0,11,1,4186,3,24,4,2576,325,2932,1254,88.8,29.9
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),112953,199548,49,55,37,312360,2913,2116,91,49593,122535,177248,135112,28.8,43.2
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),1067102,2949400,426,5608,273,4010195,113388,89549,17849,2056716,591893,2869395,1140800,77.7,28.4
