S.No.,Category,State/UT,Cases Reported under Total Cognizable Crimes,Percentage Contribution to All India Total,Mid-Year Projected Population (In Lakhs)+,Rate of Total Cognizable Crimes
1,State,Andhra Pradesh,15755,0.4,513.4,30.7
2,State,Arunachal Pradesh,181,0,13,13.9
3,State,Assam,3849,0.1,322,12
4,State,Bihar,18439,0.4,1031.4,17.9
5,State,Chhattisgarh,245223,5.6,256.6,955.6
6,State,Goa,1482,0,19.7,75.4
7,State,Gujarat,307108,7,623.3,492.7
8,State,Haryana,47523,1.1,272.2,174.6
9,State,Himachal Pradesh,3214,0.1,70.6,45.5
10,State,Jammu & Kashmir,1727,0,123.4,14
11,State,Jharkhand,7861,0.2,333.5,23.6
12,State,Karnataka,32019,0.7,619.9,51.7
13,State,Kerala,396334,9.1,355.5,1115
14,State,Madhya Pradesh,90046,2.1,771.3,116.8
15,State,Maharashtra,147766,3.4,1191.4,124
16,State,Manipur,1004,0,25.7,39
17,State,Meghalaya,327,0,27.5,11.9
18,State,Mizoram,347,0,10.6,32.9
19,State,Nagaland,629,0,23.6,26.6
20,State,Odisha,19848,0.5,422.5,47
21,State,Punjab,22253,0.5,289.4,76.9
22,State,Rajasthan,64096,1.5,723.1,88.6
23,State,Sikkim,184,0,6.4,28.7
24,State,Tamil Nadu,254604,5.8,691.6,368.2
25,State,Telangana,16496,0.4,365.6,45.1
26,State,Tripura,172,0,38,4.5
27,State,Uttar Pradesh,2549421,58.2,2158.4,1181.2
28,State,Uttarakhand,88618,2,105.4,840.5
29,State,West Bengal,26777,0.6,930,28.8
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),4363303,99.7,12334.8,353.7
30,UT,A & N Islands,2197,0.1,5.5,402.4
31,UT,Chandigarh,1865,0,17.4,107.1
32,UT,D&N Haveli,34,0,4.2,8.1
33,UT,Daman & Diu,17,0,3.2,5.3
34,UT,Delhi UT,8599,0.2,208.8,41.2
35,UT,Lakshadweep,15,0,0.8,18.8
36,UT,Puducherry,669,0,16.5,40.7
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),13396,0.3,256.3,52.3
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),4376699,100,12591.1,347.6
