S. No.,Year,Cases registered - against Juveniles in Conflict with the Law,Cases registered - Under Total Cognizable IPC Crimes,Percentage Cases of Juvenile in Conflict with Law to Total Cognizable Crimes,Mid-Year Projected Population (In Lakh) +#,Rate of Crime under Cases of Juveniles in Conflict with Law
1,2005,18939,1822602,1,11028,1.7
2,2006,21088,1878293,1.1,11198,1.9
3,2007,22865,1989673,1.1,11366,2
4,2008,24535,2093379,1.2,11531,2.1
5,2009,23926,2121345,1.1,11694,2
6,2010,22740,2224831,1,11858,1.9
7,2011,25125,2325575,1.1,12102,2.1
8,2012,27936,2387188,1.2,12134,2.3
9,2013,31725,2647722,1.2,12288,2.6
10,2014,33526,2851563,1.2,12440,2.7
11,2015,31396,2949400,1.1,12591,2.5
