S. No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Cases Pending Trial from the Previous Year (Col. 4),Cases Sent for Trial During the Year (Col. 5),No. of Cases Withdrawn by the Govt. (Col. 6),No. of Cases Disposed by Plea Bargaining (Col. 7),Total no. of Cases for Trial During the Year (Col. 8) = (Col.4+5-6-7),Cases Compounded or Withdrawn (Col. 9),Cases in Which Trials were Completed (Col. 10) = (Col. 11+12),Cases Convicted (Col. 11),Cases Acquitted or Discharged (Col. 12),Cases Pending Trial at the End of the Year (Col. 13) = (Col.8 - (Col.9+10),Conviction Rate (Col. 14) = (Col.11/Col.10) x 100,Cases Pendency Percentage (Col. 15) = (Col.13/(Col.4+Col.5) x 100
1,State,Andhra Pradesh,175442,91857,58,3,267238,27539,69299,21847,47452,170400,31.5,63.7
2,State,Arunachal Pradesh,19461,1973,1,8,21425,266,158,49,109,21001,31,98
3,State,Assam,136853,48612,0,20,185445,313,29457,3483,25974,155675,11.8,83.9
4,State,Bihar,734455,109158,0,35,843578,3887,41780,5354,36426,797911,12.8,94.6
5,State,Chhattisgarh,169860,44477,0,0,214337,4464,39190,21326,17864,170683,54.4,79.6
6,State,Goa,9627,2619,0,0,12246,63,1514,288,1226,10669,19,87.1
7,State,Gujarat,791673,105833,62,3,897441,611,63851,23367,40484,832979,36.6,92.8
8,State,Haryana,134789,44175,0,0,178964,55,37942,11508,26434,140967,30.3,78.8
9,State,Himachal Pradesh,73025,11275,8,0,84292,911,7032,1934,5098,76349,27.5,90.6
10,State,Jammu & Kashmir,78182,18973,0,0,97155,4478,13762,5288,8474,78915,38.4,81.2
11,State,Jharkhand,79843,27175,21,0,106997,835,24558,4647,19911,81604,18.9,76.3
12,State,Karnataka,279548,97631,2,0,377177,7880,73299,28306,44993,295998,38.6,78.5
13,State,Kerala,581405,244145,48,17,825485,3487,190791,157102,33689,631207,82.3,76.5
14,State,Madhya Pradesh,607055,223867,195,0,830727,53168,153384,74088,79296,624175,48.3,75.1
15,State,Maharashtra,1411492,174492,2401,3,1583580,13901,110501,36450,74051,1459178,33,92
16,State,Manipur,3036,460,0,0,3496,14,75,33,42,3407,44,97.5
17,State,Meghalaya,12871,1892,1,0,14762,83,946,354,592,13733,37.4,93
18,State,Mizoram,1426,2056,0,0,3482,74,1941,1821,120,1467,93.8,42.1
19,State,Nagaland,1065,762,14,0,1813,7,762,530,232,1044,69.6,57.1
20,State,Odisha,410751,69197,0,0,479948,296,39066,3692,35374,440586,9.5,91.8
21,State,Punjab,76358,23457,0,5,99810,374,25431,8543,16888,74005,33.6,74.1
22,State,Rajasthan,471104,99640,149,4366,566229,7584,81129,46398,34731,477516,57.2,83.7
23,State,Sikkim,426,397,0,3,820,24,230,93,137,566,40.4,68.8
24,State,Tamil Nadu,297504,159284,0,0,456788,1174,117912,74988,42924,337702,63.6,73.9
25,State,Telangana,197969,87171,425,58,284657,22699,51126,19237,31889,210832,37.6,73.9
26,State,Tripura,14402,3289,0,0,17691,917,1799,544,1255,14975,30.2,84.6
27,State,Uttar Pradesh,544144,147631,21,0,691754,5277,83787,48958,34829,602690,58.4,87.1
28,State,Uttarakhand,25435,5411,2,0,30844,67,6779,3937,2842,23998,58.1,77.8
29,State,West Bengal,950509,160214,0,31,1110692,960,33643,4918,28725,1076089,14.6,96.9
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),8289710,2007123,3408,4552,10288873,161408,1301144,609083,692061,8826321,46.8,85.7
30,UT,A & N Islands,6242,566,0,0,6808,1,395,125,270,6412,31.6,94.2
31,UT,Chandigarh,6305,1997,0,0,8302,0,3138,1369,1769,5164,43.6,62.2
32,UT,D&N Haveli,2547,174,0,0,2721,0,141,11,130,2580,7.8,94.8
33,UT,Daman & Diu,237,165,0,0,402,6,148,8,140,248,5.4,61.7
34,UT,Delhi UT,146587,44079,20,264,190382,832,19974,9828,10146,169576,49.2,88.9
35,UT,Lakshadweep,94,36,0,0,130,7,42,30,12,81,71.4,62.3
36,UT,Puducherry,2062,2576,0,0,4638,30,1007,866,141,3601,86,77.6
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),164074,49593,20,264,213383,876,24845,12237,12608,187662,49.3,87.8
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),8453784,2056716,3428,4816,10502256,162284,1325989,621320,704669,9013983,46.9,85.8
