Crime Head (Col. 1),Cases Pending Trial from the Previous Year (Col. 2),Cases Sent for Trial During the Year (Col. 3),No. of Cases Withdrawn by the Govt. (Col. 4),No. of Cases Disposed by Plea Bargaining (Col. 5),Total no. of Cases for Trial During the Year (Col. 6) = (Col.2+3 - Col.4 - Col. 5),Cases Compounded or Withdrawn (Col. 7),Cases in Which Trials were Completed (Col. 8) = (Col. 9+10),Cases Convicted (Col. 9),Cases Acquitted or Discharged (Col. 10),Cases Pending Trial at the End of the Year (Col. 11) = (Col.6 - (Col.7+8)),Conviction Rate (Col. 12) = (Col.9/Col.10) - x 100,Cases Pendency Percentage (Col. 13) = {Col.11/(Col.2+Col.3)} x 100
1 Murder,176863,28632,28,0,205467,86,19642,7763,11879,185739,39.5,90.4
2 Attempt to Commit Murder,159286,39996,11,25,199246,317,20879,5612,15267,178050,26.9,89.3
3 Culpable Homicide not Amounting to Murder,17973,2682,5,0,20650,31,2004,793,1211,18615,39.6,90.1
4 Attempt to Commit Culpable Homicide,9360,4956,0,0,14316,94,1406,355,1051,12816,25.2,89.5
5 Rape,107477,30001,19,1,137458,174,18764,5514,13250,118520,29.4,86.2
5.1 Custodial Rape,158,89,0,0,247,0,28,11,17,219,39.3,88.7
5.1.1 Gang Rape,5,2,0,0,7,0,1,1,0,6,100,85.7
5.1.2 Other Rape,153,87,0,0,240,0,27,10,17,213,37,88.8
5.2 Rape other than Custodial,107319,29912,19,1,137211,174,18736,5503,13233,118301,29.4,86.2
5.2.1 Gang Rape,2290,1521,0,0,3811,4,560,230,330,3247,41.1,85.2
5.2.2 Other Rape,105029,28391,19,1,133400,170,18176,5273,12903,115054,29,86.2
6 Attempt to Commit Rape,3767,3174,0,1,6940,19,1035,205,830,5886,19.8,84.8
7 Kidnapping & Abduction,131537,34805,9,16,166317,673,17451,4175,13276,148193,23.9,89.1
7.1 Kidnapping & Abduction,31587,9509,2,5,41089,112,4114,978,3136,36863,23.8,89.7
7.2 Kidnaping & Abduction in order to Murder,8280,687,0,0,8967,11,674,189,485,8282,28,92.4
7.3 Kidnapping for Ransom,1233,453,0,0,1686,4,155,44,111,1527,28.4,90.6
7.4 Kidnapping & Abduction of Women to Compel her for Marriage,58495,16249,4,3,74737,371,8120,1995,6125,66246,24.6,88.6
7.5 Other Kidnapping,31942,7907,3,8,39838,175,4388,969,3419,35275,22.1,88.5
8 Dacoity,29840,3479,9,0,33310,15,2273,478,1795,31022,21,93.1
8.1 Dacoity with Murder,275,57,0,0,332,0,15,7,8,317,46.7,95.5
8.2 Other Dacoity,29565,3422,9,0,32978,15,2258,471,1787,30705,20.9,93.1
9 Making Preparation and Assembly for Committing Dacoity,17222,3232,0,0,20454,1,1564,223,1341,18889,14.3,92.3
10 Robbery,117701,21764,22,1,139442,154,11263,3557,7706,128025,31.6,91.8
11 Criminal Trespass/Burglary,257187,42635,40,3,299779,1196,29867,10539,19328,268716,35.3,89.6
11.1 Criminal Trespass/Burglary,182718,31232,33,2,213915,803,21510,7577,13933,191602,35.2,89.6
11.2 House Trespass & House Breaking,74469,11403,7,1,85864,393,8357,2962,5395,77114,35.4,89.8
12 Theft,757527,132842,905,95,889369,12250,84366,29811,54555,792753,35.3,89
12.1 Auto Theft,190768,44068,33,29,234774,3150,23411,9044,14367,208213,38.6,88.7
12.2 Other Thefts,566759,88774,872,66,654595,9100,60955,20767,40188,584540,34.1,89.2
13 Unlawful Assembly,20317,7056,29,58,27286,273,2568,771,1797,24445,30,89.3
14 Riots,414437,53367,184,45,467575,3418,32045,5647,26398,432112,17.6,92.4
14.1 Communal,3694,686,0,0,4380,6,479,44,435,3895,9.2,88.9
14.2 Industrial,508,116,0,0,624,7,42,7,35,575,16.7,92.1
14.3 Political,8238,1469,10,0,9697,34,1251,155,1096,8412,12.4,86.7
14.4 Caste Conflict,7590,1726,0,0,9316,17,829,104,725,8470,12.5,90.9
14.4.1 SC/STs Vs. Non-SCs/STs,904,855,0,0,1759,0,121,12,109,1638,9.9,93.1
14.4.2 Other Caste Riots,6686,871,0,0,7557,17,708,92,616,6832,13,90.4
14.5 Agrarian,1695,1665,0,0,3360,49,295,74,221,3016,25.1,89.8
14.6 Students,1019,334,1,0,1352,2,227,6,221,1123,2.6,83
14.7 Sectarian,31,492,0,0,523,0,11,3,8,512,27.3,97.9
