Crime Head (Col.1),Cases Pending Investigation from Previous Year (Col.2),Cases Reported During the Year (Col.3),No. of Cases Withdrawn by the Govt. During Investigation (Col.4),Cases Transferred to other Police Station/ Magistrate (Col.5),Cases Not Investigated U/S 157(1)(b) of Cr.PC (Col.6),Total Cases for Investigation (Col.7) = (Col. 2+3-4-5-6) ,Cases Ended as Final Report False (Col.8),Cases Ended as Mistake of Fact or of Law (Col.9),Cases in Ended as Final Report as Non Cognizable Submitted During the Year (Col.10),Cases in Which Charge-sheets were Submitted (Col.11),Cases in Which Chargesheets were not laid but Final Report as True submitted (Col.12),Total Cases Disposed Of by Police (Col.13) = (Col. 8+9+10+11+12),Cases Pending Investigation at the End of the Year (Col.14) = (col. 7 - col. 15),Charge-Sheeting Rate (Col.15) = {Col.11/(Col.11+Col.12)} x 100,Cases Pendency Percentage (Col.16) = {Col.14/(Col.2+Col.3)} x 100
1 Procuration of Minor Girls,1244,3087,0,1,0,4330,150,92,9,1348,421,2020,2310,76.2,53.3
2 Importation of Girls from Foreign Country,0,2,0,0,0,2,0,0,0,1,0,1,1,100,50
3 Buying of Minors for Prostitution,40,11,0,0,0,51,0,0,0,10,0,10,41,100,80.4
4 Selling of Minors for Prostitution,181,111,0,0,0,292,0,0,0,119,3,122,170,97.5,58.2
"5 Immoral Traffic (Prevention) Act, 1956",63,58,0,0,0,121,0,0,0,48,6,54,67,88.9,55.4
5.1 Under ITP Section 5,20,33,0,0,0,53,0,0,0,23,5,28,25,82.1,47.2
5.2 Under ITP Section 6,0,4,0,0,0,4,0,0,0,1,0,1,3,100,75
5.3 Under ITP Section 7,10,5,0,0,0,15,0,0,0,4,0,4,11,100,73.3
5.4 Under ITP Section 8,1,1,0,0,0,2,0,0,0,2,0,2,0,100,0
5.5 Other Section of ITP Act,32,15,0,0,0,47,0,0,0,18,1,19,28,94.7,59.6
6 Human Trafficking (Sec.370 & 370 A),10,221,0,1,0,230,2,2,0,132,5,141,89,96.4,38.5
Total Child Trafficking,1538,3490,0,2,0,5026,152,94,9,1658,435,2348,2678,79.2,53.3
