Crime Head (Col.1),Cases Pending Investigation from Previous Year (Col.2),Cases Reported During the Year (Col.3),No. of Cases Withdrawn by the Govt. During Investigation (Col.4),Cases Transferred to other Police Station/ Magistrate (Col.5),Cases Not Investigated U/S 157(1)(b) of Cr.PC (Col.6),Total Cases for Investigation (Col.7) = (Col. 2+3-4-5-6),Cases Ended as Final Report False (Col.8),Cases Ended as Mistake of Fact or of Law (Col.9),Cases in Ended as Final Report as Non Cognizable Submitted During the Year (Col.10),Cases in Which Charge-sheets were Submitted (Col.11),Cases in Which Charge-sheets were not laid but Final Report as True submitted (Col.12),Total Cases Disposed Off by Police (Col.13) = (Col. 8+9+10+11+12),Cases Pending Investigation at the End of the Year (Col.14) = (col. 7 - col. 13),Charge-Sheeting Rate (Col.15) = {Col.11/ (Col.11+Col.12)} x 100 ,Cases Pendency Percentage (Col.16) = {Col.14/(Col.2+Col.3)} x 100 
"1 Protection of Civil Rights Act, 1955",45,106,0,1,0,150,18,0,1,78,2,99,51,97.5,33.8
2.1 Murder,214,707,0,5,1,915,28,10,1,619,17,675,240,97.3,26.1
2.2 Attempt to Commit Murder,110,547,0,0,0,657,22,9,1,446,10,488,169,97.8,25.7
2.3 Rape,572,2326,0,4,0,2894,206,21,1,1891,57,2176,718,97.1,24.8
2.4 Attempt to Commit Rape,14,74,0,0,0,88,12,2,0,56,3,73,15,94.9,17
2.5 Assault on Women with Intent to Outrage her Modesty,428,2800,2,0,0,3226,202,27,9,2317,48,2603,623,98,19.3
2.5.1 Sexual Harassment,109,1317,1,0,0,1425,40,6,5,1144,41,1236,189,96.5,13.3
2.5.2 Assault on women with Intent to Disrobe,32,140,0,0,0,172,10,4,0,99,2,115,57,98,33.1
2.5.3 Voyeurism,4,15,0,0,0,19,1,0,0,13,0,14,5,100,26.3
2.5.4 Stalking,17,107,0,0,0,124,7,2,0,86,2,97,27,97.7,21.8
2.5.5 Other Sexual Harassment,266,1221,1,0,0,1486,144,15,4,975,3,1141,345,99.7,23.2
2.6 Insult to the Modesty of women,45,58,0,2,0,101,16,0,0,43,1,60,41,97.7,39.8
2.7 Kidnapping & Abduction,199,687,5,1,1,879,52,28,1,489,103,673,206,82.6,23.3
2.7.1 Kidnaping & Abduction,43,133,0,1,0,175,12,12,0,98,18,140,35,84.5,19.9
2.7.2 Kidnaping & Abduction in Order to Murder,2,8,0,0,0,10,0,0,0,5,1,6,4,83.3,40
2.7.3 Kidnapping for Ransom,0,5,0,0,0,5,0,0,0,3,0,3,2,100,40
