S. No.,Category,State/UT,Number of - Death or Disappearance Reported,Number of - Autopsy Conducted,Number of - Magisterial Enquiry Ordered,Number of - Judicial Enquiry Conducted,Number of - Cases Registered against Police Personnel in Connection With Deaths,Number of - Policemen Charge- Sheeted,Number of - Policemen Convicted
1,State,Andhra Pradesh,5,0,1,0,1,0,0
2,State,Arunachal Pradesh,0,0,1,0,0,0,0
3,State,Assam,1,2,1,1,1,1,0
4,State,Bihar,1,1,1,0,1,4,0
5,State,Chhattisgarh,4,3,2,2,0,0,0
6,State,Goa,0,0,0,0,0,0,0
7,State,Gujarat,7,7,1,5,2,0,0
8,State,Haryana,2,1,1,0,1,0,0
9,State,Himachal Pradesh,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0
11,State,Jharkhand,2,0,0,0,0,0,0
12,State,Karnataka,2,2,1,0,1,0,0
13,State,Kerala,0,0,0,0,0,0,0
14,State,Madhya Pradesh,4,4,3,2,0,0,0
15,State,Maharashtra,14,14,12,0,1,6,0
16,State,Manipur,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0
20,State,Odisha,3,3,1,3,3,10,0
21,State,Punjab,3,1,2,1,1,0,0
22,State,Rajasthan,1,0,0,0,1,0,0
23,State,Sikkim,0,0,0,0,0,0,0
24,State,Tamil Nadu,3,3,0,3,3,3,0
25,State,Telangana,4,2,2,0,0,0,0
26,State,Tripura,1,1,1,1,0,0,0
27,State,Uttar Pradesh,8,8,7,1,8,0,0
28,State,Uttarakhand,0,0,0,0,0,0,0
29,State,West Bengal,1,0,0,0,0,0,0
TOTAL (STATES),State,TOTAL (STATES),66,52,37,19,24,24,0
30,UT,A & N Islands,0,0,0,0,0,0,0
31,UT,Chandigarh,0,0,0,0,0,0,0
32,UT,D&N Haveli,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0,0
34,UT,Delhi UT,1,1,1,0,0,0,0
35,UT,Lakshadweep,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0
TOTAL (UTS),UT,TOTAL (UTS),1,1,1,0,0,0,0
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),67,53,38,19,24,24,0
