Incidence of,No. of Cases Registered - State Police,No. of Cases Registered - Central Paramilitary Forces,No. of Cases Found to be False - State Police,No. of Cases Found to be False - Central Paramilitary Forces,No. of Police Personnel - Charge-sheeted - State Police,No. of Police Personnel - Charge-sheeted - Central Paramilitary Forces,No. of Police Personnel - Convicted - State Police,No. of Police Personnel - Convicted - Central Paramilitary Forces
1. Disappearance of Persons,2,0,0,0,0,0,0,0
2. Illegal Detention or Arrests,2,0,0,0,0,0,0,0
2.1 Illegal Detention or Arrests of SCs,1,0,0,0,0,0,0,0
2.2 Illegal Detention or Arrests of STs,0,0,0,0,0,0,0,0
2.3 Illegal Detention or Arrests - Others,1,0,0,0,0,0,0,0
4. Fake Encounter Killings,0,0,0,0,0,0,0,0
5. Human Rights violation against Terrorists or Extremists,0,0,0,0,0,0,0,0
6. Extortion,13,0,0,0,8,0,0,0
7. Hurt/Injury,14,0,2,0,5,0,0,0
8. Failure in Taking Action,1,0,0,0,0,0,0,0
9. Assault on Women with Intent to Outrage her Modesty,7,0,1,0,3,0,0,0
10. Insult to the Modesty of Women,2,0,0,0,0,0,0,0
11. Atrocities on SCs,6,0,2,0,0,0,0,0
12. Atrocities on STs,3,0,0,0,1,0,0,0
13. Torture,3,0,0,0,2,0,0,0
. 13.1 Torture of SCs,1,0,0,0,0,0,0,0
13.2 Torture of STs,0,0,0,0,0,0,0,0
13.3 Torture of Others,2,0,0,0,2,0,0,0
14. Failure in Registering FIR,0,0,0,0,0,0,0,0
"15. Section 4 of the SC/ST (POA) Act, 1989",0,0,0,0,0,0,0,0
"16. Sec. 23(4) of the Protection of Children from Sexual Offence Act, 2012",3,0,0,0,4,0,0,0
17. Others Human Rights Violations,38,0,7,0,11,0,0,0
Total Human Rights Violation Cases,94,0,12,0,34,0,0,0
