S. No.,Category,State/UT,2013,2014,2015,Percentage Variation In - 2014 Over 2013,Percentage Variation In - 2015 Over 2014
1,State,Andhra Pradesh,26,5,2,-80.8,-60
2,State,Arunachal Pradesh,0,0,0,NA,NA
3,State,Assam,0,35,0,NA,-100
4,State,Bihar,1,0,0,-100,NA
5,State,Chhattisgarh,17,8,18,-52.9,125
6,State,Goa,0,1,0,NA,-100
7,State,Gujarat,2,4,1,100,-75
8,State,Haryana,8,3,12,-62.5,300
9,State,Himachal Pradesh,0,0,0,NA,NA
10,State,Jammu & Kashmir,1,1,0,0.0,-100
11,State,Jharkhand,0,0,1,NA,NA
12,State,Karnataka,6,2,2,-66.7,0.0
13,State,Kerala,6,9,22,50,144.4
14,State,Madhya Pradesh,6,8,0,33.3,-100
15,State,Maharashtra,30,33,30,10,-9.1
16,State,Manipur,0,0,0,NA,NA
17,State,Meghalaya,0,0,0,NA,NA
18,State,Mizoram,0,0,0,NA,NA
19,State,Nagaland,0,0,0,NA,NA
20,State,Odisha,1,0,0,-100,NA
21,State,Punjab,8,4,14,-50,250
22,State,Rajasthan,4,10,8,150,-20
23,State,Sikkim,0,0,0,NA,NA
24,State,Tamil Nadu,33,16,8,-51.5,-50
25,State,Telangana,NA,3,3,NA,0.0
26,State,Tripura,0,0,0,NA,NA
27,State,Uttar Pradesh,9,141,222,1466.7,57.4
28,State,Uttarakhand,1,0,0,-100,NA
29,State,West Bengal,7,4,3,-42.9,-25
TOTAL (STATES),State,TOTAL (STATES),166,287,346,72.9,20.6
30,UT,A & N Islands,0,0,0,NA,NA
31,UT,Chandigarh,0,0,0,NA,NA
32,UT,D&N Haveli,0,0,0,NA,NA
33,UT,Daman & Diu,0,0,0,NA,NA
34,UT,Delhi UT,0,0,0,NA,NA
35,UT,Lakshadweep,0,0,0,NA,NA
36,UT,Puducherry,0,0,0,NA,NA
TOTAL (UTS),UT,TOTAL (UTS),0,0,0,NA,NA
TOTAL ALL INDIA,TOTAL ALL INDIA,TOTAL ALL INDIA,166,287,346,72.9,20.6
