Crime Category,Crime Head,Below 18 Years - Male,Below 18 Years - Female,Below 18 Years - Total,18 Years & Above – Below 30 Years - Male,18 Years & Above – Below 30 Years - Female,18 Years & Above – Below 30 Years - Total,30 Years & Above – Below 45 Years - Male,30 Years & Above – Below 45 Years - Female,30 Years & Above – Below 45 Years - Total,45 Years & Above – Below 60 Years - Male,45 Years & Above – Below 60 Years - Female,45 Years & Above – Below 60 Years - Total,60 Years & Above - Male,60 Years & Above - Female,60 Years & Above - Total,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Grand Total of Male + Female Arrested (including Juveniles)
IPC,1 Murder,1050,42,1092,25013,1367,26380,22975,1823,24798,8410,665,9075,737,77,814,58185,3974,62159
IPC,2 Attempt to Commit Murder,1339,21,1360,38823,1288,40111,35242,1853,37095,13708,661,14369,932,70,1002,90044,3893,93937
IPC,3 Culpable Homicide not Amounting to Murder,41,0,41,2615,56,2671,2669,101,2770,906,29,935,67,2,69,6298,188,6486
IPC,4 Attempt to Commit Culpable Homicide,89,0,89,4145,88,4233,3934,128,4062,1384,63,1447,62,2,64,9614,281,9895
IPC,5 Rape,1837,4,1841,23998,373,24371,12189,526,12715,2668,196,2864,223,22,245,40915,1121,42036
IPC,5.1 Custodial Rape,0,0,0,89,0,89,43,0,43,2,0,2,0,0,0,134,0,134
IPC,5.1.1 Gang Rape,0,0,0,6,0,6,4,0,4,0,0,0,0,0,0,10,0,10
IPC,5.1.2 Other Rape,0,0,0,83,0,83,39,0,39,2,0,2,0,0,0,124,0,124
IPC,5.2 Rape other than Custodial,1837,4,1841,23909,373,24282,12146,526,12672,2666,196,2862,223,22,245,40781,1121,41902
IPC,5.2.1 Gang Rape,133,0,133,3054,27,3081,1314,29,1343,139,4,143,7,0,7,4647,60,4707
IPC,5.2.2 Other Rape,1704,4,1708,20855,346,21201,10832,497,11329,2527,192,2719,216,22,238,36134,1061,37195
IPC,6 Attempt to Commit Rape,78,0,78,2390,3,2393,1526,1,1527,328,0,328,12,0,12,4334,4,4338
IPC,7 Kidnapping & Abduction,1491,17,1508,41653,1014,42667,22760,1141,23901,5007,303,5310,156,15,171,71067,2490,73557
