S. No.,Category,State/UT,Incidence of Total Cognizable Crimes,Percentage Contribution To All–India Total,Estimated Mid-Year Population (In Lakhs)+,Rate of Total Cognizable Crimes
1,State,Andhra Pradesh,917,1.1,513.4*,1.8
2,State,Arunachal Pradesh,175,0.2,13,13.4
3,State,Assam,5831,7,322,18.1
4,State,Bihar,7128,8.6,1031.4,6.9
5,State,Chhattisgarh,2083,2.5,256.6,8.1
6,State,Goa,112,0.1,19.7,5.7
7,State,Gujarat,2108,2.5,623.3,3.4
8,State,Haryana,3520,4.2,272.2,12.9
9,State,Himachal Pradesh,327,0.4,70.6,4.6
10,State,Jammu & Kashmir,1153,1.4,123.4,9.3
11,State,Jharkhand,1402,1.7,333.5,4.2
12,State,Karnataka,2354,2.8,619.9,3.8
13,State,Kerala,271,0.3,355.5,0.8
14,State,Madhya Pradesh,6778,8.2,771.3,8.8
15,State,Maharashtra,8255,9.9,1191.4,6.9
16,State,Manipur,179,0.2,25.7,7
17,State,Meghalaya,212,0.3,27.5,7.7
18,State,Mizoram,15,0,10.6,1.4
19,State,Nagaland,85,0.1,23.6,3.6
20,State,Odisha,3236,3.9,422.5,7.7
21,State,Punjab,1694,2,289.4,5.9
22,State,Rajasthan,5426,6.5,723.1,7.5
23,State,Sikkim,21,0,6.4,3.3
24,State,Tamil Nadu,1603,1.9,691.6,2.3
25,State,Telangana,1044,1.3,365.6*,2.9
26,State,Tripura,152,0.2,38,4
27,State,Uttar Pradesh,11999,14.5,2158.4,5.6
28,State,Uttarakhand,757,0.9,105.4,7.2
29,State,West Bengal,6115,7.4,930,6.6
TOTAL (STATES),State,TOTAL (STATES),74952,90.3,12334.8,6.1
30,UT,A & N Islands,28,0,5.5,5.1
31,UT,Chandigarh,230,0.3,17.4,13.2
32,UT,D&N Haveli,14,0,4.2,3.3
33,UT,Daman & Diu,27,0,3.2,8.4
34,UT,Delhi UT,7730,9.3,208.8,37
35,UT,Lakshadweep,0,0,0.8,0
36,UT,Puducherry,18,0,16.5,1.1
TOTAL (UTS),UT,TOTAL (UTS),8047,9.7,256.3,31.4
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),82999,100,12591.1,6.6
