S. No. (Col. 1),Category (Col. 2),State/UT (Col. 3),Personal Revenge / Settling Scores (Col. 4),"Emotional Motives like Anger, Revenge, etc. (Col. 5)",Greed / Financial Gain (Col. 6),Extortion (Col. 7),Causing Disrepute (Col. 8),Prank / Satisfaction of Gaining Control (Col. 9),Fraud/Illegal Gain (Col. 10),Insult to Modesty of Women (Col. 11),Sexual Exploitation (Col. 12),Political Motives (Col. 13),Inciting Hate Crimes Against Community (Col. 14),Inciting Hate Crimes Against Country (Col. 15),Disrupt Public Services (Col. 16),Sale/ Purchase of Illegal Drugs/Items (Col. 17),For developing own Business/Interest (Col. 18),For spreading Piracy (Col. 19),"Serious Psychiatric Illness viz. perversion, etc. (Col. 20)",Steal Information for Espionage (Col. 21),Motives of Blackmailing (Col. 22),Others (Col. 23),Total (Col. 24) = (Col. 4 to 23)
1,State,Andhra Pradesh,17,11,66,1,3,1,98,38,14,6,1,0,9,0,9,98,0,0,68,96,536
2,State,Arunachal Pradesh,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
3,State,Assam,34,31,18,18,0,2,155,66,61,0,0,0,0,0,0,0,0,0,16,82,483
4,State,Bihar,44,36,123,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,15,242
5,State,Chhattisgarh,7,2,10,0,23,0,1,25,10,0,0,0,0,0,0,0,0,0,0,25,103
6,State,Goa,0,2,4,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,4,17
7,State,Gujarat,1,0,163,0,31,3,6,3,8,1,8,0,1,0,6,0,0,0,1,10,242
8,State,Haryana,2,0,20,1,0,0,35,5,17,0,0,0,1,1,0,1,1,1,8,131,224
9,State,Himachal Pradesh,0,13,0,0,1,0,3,4,0,0,0,0,0,0,5,1,0,0,0,23,50
10,State,Jammu & Kashmir,0,0,10,0,0,0,0,3,3,0,1,4,0,0,0,0,0,0,1,12,34
11,State,Jharkhand,2,0,76,4,0,5,34,0,3,0,0,0,1,0,34,0,4,0,9,8,180
12,State,Karnataka,19,21,894,16,74,0,74,39,34,8,14,3,7,3,21,6,0,7,34,173,1447
13,State,Kerala,34,5,46,3,22,0,31,33,32,12,0,0,0,0,1,3,0,0,11,57,290
14,State,Madhya Pradesh,6,3,16,5,17,4,15,42,3,1,2,0,0,0,2,0,0,0,1,114,231
15,State,Maharashtra,21,18,682,17,35,1,354,234,113,5,39,0,2,4,17,1,6,5,16,625,2195
16,State,Manipur,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,6
17,State,Meghalaya,1,4,4,1,4,0,9,12,5,0,0,0,0,0,0,0,0,0,4,12,56
18,State,Mizoram,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,11,8,63,10,0,0,2,6,4,0,0,0,0,0,0,0,0,2,9,271,386
21,State,Punjab,6,6,17,1,6,3,11,14,10,0,5,1,0,0,2,8,0,0,12,47,149
22,State,Rajasthan,15,23,287,36,34,7,31,1,33,0,13,0,0,5,2,2,0,0,9,451,949
23,State,Sikkim,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,State,Tamil Nadu,14,1,16,2,3,0,22,2,24,1,2,2,2,1,11,0,1,3,9,26,142
25,State,Telangana,0,0,148,0,5,0,15,13,11,0,0,0,2,0,3,0,0,0,16,474,687
26,State,Tripura,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,1,0,0,0,4,13
27,State,Uttar Pradesh,29,34,1154,171,112,186,95,2,139,9,115,2,2,0,30,59,0,1,41,27,2208
28,State,Uttarakhand,0,0,1,0,1,0,15,1,12,0,1,0,0,0,0,0,0,0,0,17,48
29,State,West Bengal,25,3,17,7,2,0,68,42,21,1,1,0,0,0,13,5,0,0,14,179,398
TOTAL (STATES),State,TOTAL (STATES),288,221,3836,293,380,214,1097,589,558,44,203,12,28,14,156,185,12,19,289,2893,11331
30,UT,A & N Islands,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
31,UT,Chandigarh,16,0,8,2,4,0,7,0,9,0,0,0,0,0,0,0,0,0,0,31,77
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34,UT,Delhi UT,0,2,7,0,3,0,13,17,21,2,2,0,5,0,14,0,0,3,4,84,177
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTS),UT,TOTAL (UTS),16,2,19,2,7,0,22,17,30,3,2,0,5,0,14,0,0,3,4,115,261
TOTAL ALL INDIA,TOTAL ALL INDIA,TOTAL ALL INDIA,304,223,3855,295,387,214,1119,606,588,47,205,12,33,14,170,185,12,22,293,3008,11592
