S.No.,Category,State/UT,Unidentified Dead Bodies Recovered & Inquest Conducted
1,State,Andhra Pradesh,603
2,State,Arunachal Pradesh,3
3,State,Assam,556
4,State,Bihar,85
5,State,Chhattisgarh,417
6,State,Goa,304
7,State,Gujarat,2416
8,State,Haryana,1145
9,State,Himachal Pradesh,92
10,State,Jammu & Kashmir,128
11,State,Jharkhand,34
12,State,Karnataka,3533
13,State,Kerala,243
14,State,Madhya Pradesh,507
15,State,Maharashtra,6185
16,State,Manipur,5
17,State,Meghalaya,164
18,State,Mizoram,0
19,State,Nagaland,0
20,State,Odisha,1013
21,State,Punjab,928
22,State,Rajasthan,549
23,State,Sikkim,0
24,State,Tamil Nadu,3739
25,State,Telangana,1773
26,State,Tripura,18
27,State,Uttar Pradesh,3409
28,State,Uttarakhand,508
29,State,West Bengal,3086
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),31443
30,UT,A & N Islands,0
31,UT,Chandigarh,70
32,UT,D&N Haveli,0
33,UT,Daman & Diu,10
34,UT,Delhi UT,3063
35,UT,Lakshadweep,0
36,UT,Puducherry,6
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),3149
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),34592
