S. No. (Col. 1),Category(Col. 2),State/UT (Col. 3),Cases Pending Investigation From Previous Year (Col. 4),Cases Reported During the Year (Col. 5),Total Cases For Investigation  (Col. 6) = (Col.4+Col.5),Cases Investigated (Col. 7),Cases Not Investigated Or Investigation Dropped (Col. 8),"Cases Declared False, Mistake of Fact or of Law or Non-Cognizable or Civil in Nature/ No. of Cases Closed (Col. 9)",Cases Charge Sheeted (Col. 10),Cases In Which Charge sheets were not laid but Final Report Submitted (Col. 11),Cases Pending Investigation at the End of the Year (Col. 12),Percentage of Cases Charge Sheeted To Total Cases Investigated (Col. 13),Cases Resulted In Recovery Or Seizure (Col. 14),Value of Property Recovered / Seized (In Rupees '000) (Col. 15),Cases Pending Trial from the Previous Year (Col. 16),Cases Sent Up For Trial During the Year (Col. 17),Total Cases For Trial (Col. 18),Cases Withdrawn/ Discharged or Other Wise Disposed off (Col. 19),Cases in Which Trials were Completed (Col. 20),Cases Convicted (Col. 21),Cases Acquitted or Discharged (Col. 22),Cases Pending Trial at the End of the Year (Col. 23),Percentage of Cases Convicted to Trials Completed (Col. 24),"Total Amt. of Fine Imposed During the Year (In Rupees ""000) (Col. 25)",Cases Transferred To Local Police (Col. 26),Cases Pending Deptt. Sanction For Prosecution (Col. 27),Cases Sent Up For Trial And Also Reported For Dept. Action (Col. 28),Cases Reported For Regular Departmental Action (Col. 29),Cases Reported For Suitable Action (Col. 30)
1,State,Andhra Pradesh,279,185,464,180,0,0,133,113,284,73.9,185,386659157,574,133,707,3,57,43,14,647,75.4,4405000,0,19,6,0,0
2,State,Arunachal Pradesh,41,15,56,11,0,4,7,4,45,63.6,1,84000,17,7,24,0,0,0,0,24,NA,0,0,0,0,0,0
3,State,Assam,63,14,77,0,0,0,1,0,76,NA,0,841970,38,1,39,0,0,0,0,39,NA,0,0,1,0,0,0
4,State,Bihar,216,112,328,276,0,0,83,1,220,30.1,55,16238735,1282,83,1365,0,3,2,1,1362,66.7,20000,0,13,79,79,79
5,State,Chhattisgarh,101,50,151,70,81,0,86,0,81,122.9,50,406274112,293,86,379,4,15,6,9,360,40,163000,0,25,86,0,50
6,State,Goa,45,11,56,56,0,0,2,4,52,3.6,7,1068600,4,2,6,0,0,0,0,6,NA,0,0,1,2,2,0
7,State,Gujarat,303,305,608,341,0,1,173,1,425,50.7,241,9002430,1432,173,1605,6,136,24,112,1463,17.6,164000,0,54,0,3,0
8,State,Haryana,137,206,343,222,2,9,190,13,124,85.6,116,1334777,291,190,481,1,160,51,109,320,31.9,571400,0,13,52,0,0
9,State,Himachal Pradesh,179,39,218,218,0,1,31,8,178,14.2,17,123000,198,31,229,3,26,7,19,200,26.9,143000,0,4,0,0,0
10,State,Jammu & Kashmir,238,98,336,42,10,5,25,10,298,59.5,20,1072900,468,25,493,0,23,10,13,470,43.5,287000,0,32,0,3,0
11,State,Jharkhand,51,76,127,54,0,5,49,5,73,90.7,4,7078583,164,49,213,2,15,3,12,196,20,8000,0,23,0,0,0
12,State,Karnataka,761,259,1020,1020,10,15,223,78,754,21.9,102,72517262,1672,223,1895,15,248,65,183,1632,26.2,13018693,10,221,113,51,57
13,State,Kerala,422,377,799,716,5,28,121,66,580,16.9,10,164000,1038,121,1159,66,29,10,19,1102,34.5,98000,2,38,7,2,13
14,State,Madhya Pradesh,465,634,1099,0,0,0,439,0,340,NA,26,442400000,613,439,1052,4,191,145,46,857,75.9,14542811,0,320,0,0,0
15,State,Maharashtra,1049,1279,2328,2328,1,0,1359,14,956,58.4,450,165269031,3080,1359,4439,20,523,121,402,3896,23.1,0,0,247,0,0,0
16,State,Manipur,16,2,18,18,0,0,0,0,18,0,0,0,11,0,11,0,0,0,0,11,NA,0,0,0,0,0,0
17,State,Meghalaya,1,7,8,0,0,0,1,0,7,NA,0,3300,1,1,2,0,0,0,0,2,NA,0,0,0,0,0,0
18,State,Mizoram,14,6,20,10,0,0,10,0,10,100,20,9500000,25,10,35,0,0,0,0,35,NA,0,0,4,10,9,10
19,State,Nagaland,39,2,41,41,0,0,11,10,20,26.8,3,1882966,0,11,11,0,9,6,3,2,66.7,50000,0,0,0,0,0
20,State,Odisha,741,456,1197,1197,0,24,417,24,756,34.8,319,345778644,3260,417,3677,19,164,78,86,3494,47.6,3420000,0,105,774,248,0
21,State,Punjab,156,146,302,127,9,3,127,13,162,100,61,973500,293,127,420,2,120,39,81,298,32.5,21376500,0,30,3,0,0
22,State,Rajasthan,1555,401,1956,1956,0,34,338,116,1502,17.3,194,52808593,2763,338,3101,14,162,75,87,2925,46.3,2998600,0,299,12,63,0
