Category,States/ UTs,"No. of Cases Registered (U/S 224, 225b)",No of Persons Escaped in Above Cases,Persons Escaped From Lockup,Persons Escaped Outside The Lockup,Escapees from Lock Up Rearrested,Other Escapees Rearrested,No. of Cases in Which Final Report Submitted,No. of Persons Charged Sheeted for Offence of Escape,Disposal by Courts - No. Tried - Cases Involved,Disposal by Courts - No. Tried - No of Persons,Disposal by Courts - No. Convicted - Cases Involved,Disposal by Courts - No. Convicted - No of Persons,Disposal by Courts - No. Acquitted - Cases Involved,Disposal by Courts - No. Acquitted - No of Persons,Disposal by Courts - No. Pending for Trial - Cases Involved,Disposal by Courts - No. Pending for Trial - No of Persons,No. of Persons Awarded Imprisonment on Charges of Escape - Upto 3 Years,No. of Persons Awarded Imprisonment on Charges of Escape - More Than 3 Years
State,Andhra Pradesh,96,118,8,110,24,59,15,58,11,14,9,12,2,2,46,48,4,0
State,Arunachal Pradesh,7,9,9,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0
State,Assam,66,60,7,53,24,6,13,48,31,58,12,19,19,39,27,27,11,0
State,Bihar,77,86,14,72,8,36,7,49,1,1,0,0,1,1,41,46,6,0
State,Chhattisgarh,34,35,8,27,5,27,11,23,1,1,0,0,1,1,13,20,4,0
State,Goa,2,2,0,2,0,2,0,2,0,0,0,0,0,0,2,2,0,0
State,Gujarat,70,84,36,48,14,30,16,62,2,2,2,2,0,0,29,38,3,0
State,Haryana,29,46,24,22,20,14,11,46,7,26,0,0,7,26,60,137,0,1
State,Himachal Pradesh,17,19,0,19,0,15,12,13,6,28,5,17,1,11,15,16,3,0
State,Jammu & Kashmir,7,8,5,3,2,1,3,4,1,1,0,0,1,1,1,2,0,0
State,Jharkhand,19,22,7,15,2,8,0,14,1,1,0,0,1,1,6,1,0,0
State,Karnataka,34,38,2,36,2,19,7,21,1,1,0,0,1,1,15,16,2,0
State,Kerala,43,47,4,43,4,30,32,34,4,4,4,4,0,0,28,30,2,2
State,Madhya Pradesh,166,214,68,146,65,102,47,173,7,9,3,3,4,6,139,162,11,8
State,Maharashtra,127,155,52,103,31,93,18,86,17,19,5,6,12,13,602,1081,6,0
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,11,11,4,7,2,0,0,4,20,1,13,0,7,1,5,3,0,0
State,Mizoram,2,2,2,0,0,3,0,4,0,0,0,0,0,0,1,1,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,43,47,24,23,14,10,9,8,3,3,1,1,2,2,16,16,1,0
State,Punjab,80,102,23,79,16,37,38,62,9,13,2,3,7,10,43,41,1,0
State,Rajasthan,140,206,50,156,24,116,9,140,2,2,2,2,0,0,86,138,1,0
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,54,73,25,48,16,39,35,45,12,13,12,13,0,0,23,32,13,0
State,Tripura,6,6,6,0,3,0,1,5,0,0,0,0,0,0,5,5,0,0
State,Uttar Pradesh,100,118,4,114,1,83,24,94,15,15,15,15,0,0,79,79,15,0
State,Uttarakhand,3,3,0,3,3,0,1,1,0,0,0,0,0,0,1,1,0,0
State,West Bengal,31,35,5,30,2,22,10,18,3,3,2,2,1,1,15,12,2,0
State,Total (States),1264,1546,387,1159,284,752,319,1015,154,215,87,99,67,116,1298,1955,85,11
Union Territory,A & N Islands,3,4,4,0,4,0,0,4,0,0,0,0,0,0,3,4,0,0
Union Territory,Chandigarh,2,5,4,1,4,1,2,5,2,5,2,5,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,22,22,6,16,4,15,8,8,0,0,0,0,0,0,8,8,0,0
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),27,31,14,17,12,16,10,17,2,5,2,5,0,0,11,12,0,0
Total (All-India),Total (All-India),1291,1577,401,1176,296,768,329,1032,156,220,89,104,67,116,1309,1967,85,11
