Crime Head (Col.1),Total No. of Cases For Investigation Including Pending Cases from previous year (Col.2),Cases Withdrawn By Govt. (Col.3),No. of Cases in which Investigation Refused (Col.4),No. of Cases in which Investigation Completed - Charge Found False / MiSTake of Fact or Law Etc. (Col.5),No. of Cases in which Investigation Completed - Final Report True Submitted (Col.6),No. of Cases in which Investigation Completed - Charge Sheets Submitted (Col.7),No. of Cases in which Investigation Completed - Total (Col.8) = Col.{(5)+(6)+(7)},No. of Cases Pending Investigation at the end of the year (Col.9)
"Murder (Sec. 302,303 IPC)",216,0,0,30,4,140,174,42
Rape (Sec.376 IPC),807,0,0,49,13,587,649,158
"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",133,0,0,11,10,69,90,43
Dacoity (Sec.395-398 IPC),20,0,0,5,1,6,12,8
"Robbery (392-394, 397,398 IPC)",39,0,0,5,5,20,30,9
"Arson (Sec.435, 436, 438 IPC)",70,0,0,21,13,26,60,10
"Hurt (Sec.323-333, 335-338 IPC)",1011,0,2,108,30,647,785,224
"PCR Act, 1955 for SCs",37,0,0,20,4,2,26,11
"SC/ST Prev. Of Atrocities Act, 1989 for SCs",1717,0,1,247,21,855,1123,593
Other Crime,3161,0,0,709,52,1877,2638,523
Total,7211,0,3,1205,153,4229,5587,1621
