Crime Head,Total No. Persons under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the End of the Year - No.,Persons under Investigation at the End of the Year - Percentage to Total
"Murder (Sec. 302,303 IPC)",2191,115,5.2,1810,82.6,266,12.1
Rape (Sec.376 IPC),2042,57,2.8,1784,87.4,201,9.8
"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",670,93,13.9,487,72.7,90,13.4
Dacoity (Sec.395-398 IPC),183,7,3.8,156,85.2,20,10.9
"Robbery (392-394, 397,398 IPC)",215,23,10.7,155,72.1,37,17.2
"Arson (Sec.435, 436, 438 IPC)",626,69,11,448,71.6,109,17.4
"Hurt (Sec.323-333, 335-338 IPC)",9430,383,4.1,7199,76.3,1848,19.6
"PCR Act, 1955 for SCs",514,50,9.7,406,79,58,11.3
"SC/ST Prev. of atrocities Act, 1989 for SCs",22424,1449,6.5,16495,73.6,4480,20
Other Crime,27249,1609,5.9,22765,83.5,2875,10.6
Total,65544,3855,5.9,51705,78.9,9984,15.2
