Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention) Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev of Atrocities) Act - Total,SC/ST (Prev of Atrocities) Act - for SCs,SC/ST (Prev of Atrocities) Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
State,Andhra Pradesh,2,1,0,8,1,0,9,0,0,0,0,0,1,0,0,0,4,1,0,7,0,1,1,0,0,110,145
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,43,2,0,9,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,7,73
State,Chhattisgarh,17,8,124,46,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,6,7,0,236,449
State,Goa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Gujarat,2,1,77,0,300,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,6,6,0,0,139,531
State,Haryana,12,8,150,148,0,1,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,28,355
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
State,Karnataka,2,2,9,4,0,0,6,0,0,0,0,0,0,0,0,0,36,0,0,1,0,3,3,0,0,19,82
State,Kerala,6,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,34
State,Madhya Pradesh,81,7,261,208,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,4,8,0,212,785
State,Maharashtra,20,2,93,0,161,0,3,0,1,0,0,0,1,7,0,0,0,0,0,4,0,4,4,0,0,170,466
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Mizoram,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,1,0,2,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
State,Punjab,4,2,2,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,15
State,Rajasthan,15,2,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50,144
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
State,Tamil Nadu,0,17,45,0,27,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,755,873
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
