Category,States/ UTs,No. of Occasions of Poilce Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
State,Andhra Pradesh,45,30,6,3,78
State,Arunachal Pradesh,0,0,0,0,0
State,Assam,26,8,2,19,7
State,Bihar,7,7,2,4,1
State,Chhattisgarh,34,7,0,10,0
State,Goa,0,0,0,0,0
State,Gujarat,15,1,2,0,33
State,Haryana,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0
State,Jammu & Kashmir,47,8,2,0,18
State,Jharkhand,0,0,0,0,0
State,Karnataka,7,1,4,0,28
State,Kerala,0,0,0,0,0
State,Madhya Pradesh,38,8,0,0,2
State,Maharashtra,51,27,22,3,121
State,Manipur,0,0,0,0,0
State,Meghalaya,3,5,3,1,2
State,Mizoram,0,0,0,0,0
State,Nagaland,0,0,0,0,0
State,Orissa,18,0,33,0,5
State,Punjab,0,0,0,0,0
State,Rajasthan,39,22,84,2,304
State,Sikkim,0,0,0,0,0
State,Tamil Nadu,13,4,5,0,32
State,Tripura,25,3,2,3,2
State,Uttar Pradesh,469,102,173,13,14
State,Uttarakhand,0,0,0,0,0
State,West Bengal,25,17,276,1,79
State,Total (States),862,250,616,59,726
Union Territory,A & N Islands,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0
Union Territory,Delhi,1,0,0,0,129
Union Territory,Lakshadweep,0,0,0,0,0
Union Territory,Puducherry,2,0,0,0,0
Union Territory,Total (UTs),3,0,0,0,129
Total (All-India),Total (All-India),865,250,616,59,855
