Category,States/ UTs,Number of Cases In Which Property - Stolen,Number of Cases In Which Property - Recovered,Value of Property (Rs.In Lakhs) - Stolen,Value of Property (Rs.In Lakhs) - Recovered
State,Andhra Pradesh,74,48,21.8,10
State,Arunachal Pradesh,0,0,0,0
State,Assam,71,33,2.4,1.4
State,Bihar,23,8,16.9,4.4
State,Chhattisgarh,4,1,0.2,0
State,Goa,18,4,9.3,0.2
State,Gujarat,0,0,0,0
State,Haryana,27,12,3.3,1.8
State,Himachal Pradesh,20,4,7.4,0.4
State,Jammu & Kashmir,0,0,0,0
State,Jharkhand,23,6,1.3,0.7
State,Karnataka,638,219,335.8,29.6
State,Kerala,8,2,7.3,0.8
State,Madhya Pradesh,124,58,507.5,503.8
State,Maharashtra,80,24,4.3,1.2
State,Manipur,4,1,2.7,0.4
State,Meghalaya,0,0,0,0
State,Mizoram,0,0,0,0
State,Nagaland,1,0,0.4,0
State,Orissa,11,6,3.8,1.8
State,Punjab,3,3,0.2,0.2
State,Rajasthan,58,15,12.8,10.9
State,Sikkim,0,0,0,0
State,Tamil Nadu,12,10,2,0.8
State,Tripura,1,1,0,0
State,Uttar Pradesh,42,21,2951.2,2927.5
State,Uttarakhand,1,0,0.4,0
State,West Bengal,58,9,11.7,0.8
State,Total (States),1301,485,3902.7,3496.6
Union Territory,A & N Islands,0,0,0,0
Union Territory,Chandigarh,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0
Union Territory,Delhi,1,1,1,1
Union Territory,Lakshadweep,0,0,0,0
Union Territory,Puducherry,1,0,0.5,0
Union Territory,Total (UTs),2,1,1.5,1
Total (All-India),Total (All-India),1303,486,3904.2,3497.6
